date,department,patient_count,admissions,discharges,beds_occupied,total_beds,staff_on_duty,avg_wait_time,rain_flag
2023-01-09,OPD,56,5,4,33,40,18,15.6,0
2023-01-09,SURGERY,47,25,21,25,25,23,93.1,0
2023-01-10,ER,110,38,26,31,50,26,43.9,0
2023-01-10,ICU,18,12,8,13,20,28,22.6,0
2023-01-10,OPD,103,10,8,31,40,22,21.9,0
2023-01-10,SURGERY,47,25,22,21,25,28,83.2,0
2023-01-11,ER,169,59,54,48,50,26,58.8,0
2023-01-11,ICU,27,18,12,20,20,19,36.1,0
2023-01-11,OPD,98,9,7,30,40,23,24.0,0
2023-01-11,SURGERY,39,21,19,15,25,22,74.8,0
2023-01-12,ER,155,54,43,48,50,13,61.6,0
2023-01-12,ICU,26,18,16,17,20,20,30.2,0
2023-01-12,OPD,91,9,6,27,40,19,20.8,0
2023-01-12,SURGERY,34,18,16,20,25,17,73.2,0
2023-01-13,ER,124,43,38,46,50,13,44.8,0
2023-01-13,ICU,23,16,14,18,20,16,31.3,0
2023-01-13,OPD,67,6,5,32,40,17,16.2,0
2023-01-13,SURGERY,34,18,14,18,25,22,65.3,0
2023-01-14,ER,99,34,31,50,50,20,31.2,1
2023-01-14,ICU,17,11,8,17,20,18,22.8,1
2023-01-14,OPD,80,8,6,31,40,17,23.1,1
2023-01-14,SURGERY,37,20,17,18,25,18,71.4,1
2023-01-15,ER,124,43,38,46,50,23,36.6,0
2023-01-15,ICU,12,8,7,14,20,22,17.5,0
2023-01-15,OPD,54,5,3,27,40,17,12.7,0
2023-01-15,SURGERY,31,17,15,20,25,21,51.1,0
2023-01-16,ER,119,41,36,36,50,20,47.6,0
2023-01-16,ICU,24,16,11,17,20,18,28.2,0
2023-01-16,OPD,97,9,7,26,40,14,27.3,0
2023-01-16,SURGERY,29,15,11,22,25,19,53.5,0
2023-01-17,ER,142,49,38,36,50,17,54.6,0
2023-01-17,ICU,19,13,12,12,20,22,25.5,0
2023-01-17,OPD,81,8,6,26,40,16,18.0,0
2023-01-17,SURGERY,36,19,16,25,25,16,72.1,0
2023-01-18,ER,106,37,34,49,50,22,43.7,0
2023-01-18,ICU,26,18,14,14,20,27,37.7,0
2023-01-18,OPD,89,8,7,38,40,17,22.6,0
2023-01-18,SURGERY,37,20,16,21,25,23,82.2,0
2023-01-19,ER,144,50,45,50,50,18,46.6,0
2023-01-19,ICU,30,21,15,15,20,20,33.3,0
2023-01-19,OPD,91,9,8,36,40,23,18.5,0
2023-01-19,SURGERY,32,17,12,15,25,15,65.0,0
2023-01-20,ER,163,57,44,38,50,25,64.6,1
2023-01-20,ICU,30,21,18,20,20,18,41.5,1
2023-01-20,OPD,104,10,7,33,40,23,29.2,1
2023-01-20,SURGERY,40,22,18,18,25,18,80.9,1
2023-01-21,ER,90,31,25,32,50,21,30.3,0
2023-01-21,ICU,16,11,9,18,20,22,18.7,0
2023-01-21,OPD,48,4,3,35,40,18,13.5,0
2023-01-21,SURGERY,35,19,13,19,25,18,56.5,0
2023-01-22,ER,78,27,20,50,50,23,28.0,0
2023-01-22,ICU,16,11,9,12,20,17,19.7,0
2023-01-22,OPD,57,5,3,29,40,16,12.8,0
2023-01-22,SURGERY,30,16,12,25,25,16,59.6,0
2023-01-23,ER,133,46,36,37,50,24,42.4,0
2023-01-23,ICU,29,20,14,14,20,13,44.1,0
2023-01-23,OPD,80,8,6,33,40,23,18.9,0
2023-01-23,SURGERY,36,19,17,24,25,15,72.3,0
2023-01-24,ER,143,50,36,32,50,18,54.7,1
2023-01-24,ICU,36,25,21,20,20,23,50.7,1
2023-01-24,OPD,87,8,6,38,40,22,24.4,1
2023-01-24,SURGERY,41,22,17,17,25,23,69.8,1
2023-01-25,ER,153,53,46,46,50,20,46.0,0
2023-01-25,ICU,26,18,14,15,20,19,28.8,0
2023-01-25,OPD,87,8,6,31,40,17,24.2,0
2023-01-25,SURGERY,34,18,12,23,25,27,75.1,0
2023-01-26,ER,140,49,42,50,50,18,45.9,0
2023-01-26,ICU,24,16,13,13,20,18,33.9,0
2023-01-26,OPD,103,10,7,31,40,25,20.7,0
2023-01-26,SURGERY,46,25,19,20,25,23,76.9,0
2023-01-27,ER,128,44,41,38,50,18,48.4,0
2023-01-27,ICU,19,13,10,15,20,17,21.1,0
2023-01-27,OPD,88,8,6,24,40,20,21.3,0
2023-01-27,SURGERY,48,26,24,22,25,16,95.9,0
2023-01-28,ER,88,30,26,39,50,18,34.1,0
2023-01-28,ICU,24,16,13,13,20,20,31.1,0
2023-01-28,OPD,90,9,8,38,40,17,23.0,0
2023-01-28,SURGERY,23,12,10,24,25,22,44.0,0
2023-01-29,ER,116,40,32,40,50,19,34.3,0
2023-01-29,ICU,24,16,13,14,20,18,34.5,0
2023-01-29,OPD,62,6,4,35,40,15,13.3,0
2023-01-29,SURGERY,25,13,12,18,25,21,39.1,0
2023-01-30,ER,148,51,44,35,50,13,51.4,1
2023-01-30,ICU,24,16,11,18,20,23,35.9,1
2023-01-30,OPD,94,9,8,24,40,19,20.1,1
2023-01-30,SURGERY,33,18,14,16,25,16,51.2,1
2023-01-31,ER,140,49,35,30,50,25,42.5,0
2023-01-31,ICU,22,15,12,13,20,16,27.6,0
2023-01-31,OPD,93,9,7,25,40,18,23.4,0
2023-01-31,SURGERY,26,14,12,25,25,15,43.6,0
2023-02-01,ER,167,58,43,36,50,19,65.5,1
2023-02-01,ICU,31,21,19,13,20,15,44.7,1
2023-02-01,OPD,76,7,5,28,40,28,19.9,1
2023-02-01,SURGERY,42,23,16,25,25,23,78.8,1
2023-02-02,ER,165,57,53,41,50,22,55.5,0
2023-02-02,ICU,20,14,11,15,20,17,25.2,0
2023-02-02,OPD,112,11,8,39,40,18,27.4,0
2023-02-02,SURGERY,37,20,16,19,25,13,59.0,0
2023-02-03,ER,146,51,46,37,50,24,55.0,1
2023-02-03,ICU,28,19,14,13,20,26,35.0,1
2023-02-03,OPD,111,11,8,30,40,16,24.4,1
2023-02-03,SURGERY,40,22,16,18,25,26,69.3,1
2023-02-04,ER,116,40,30,45,50,25,36.2,0
2023-02-04,ICU,15,10,8,14,20,19,22.7,0
2023-02-04,OPD,69,6,4,34,40,15,14.8,0
2023-02-04,SURGERY,18,9,6,15,25,22,38.7,0
2023-02-05,ER,102,35,25,34,50,26,37.0,0
2023-02-05,ICU,15,10,7,15,20,23,22.4,0
2023-02-05,OPD,57,5,4,40,40,23,13.8,0
2023-02-05,SURGERY,32,17,13,19,25,21,69.7,0
2023-02-06,ER,162,56,53,44,50,24,51.3,0
2023-02-06,ICU,27,18,14,14,20,19,36.3,0
2023-02-06,OPD,75,7,5,26,40,23,15.8,0
2023-02-06,SURGERY,33,18,16,15,25,20,61.0,0
2023-02-07,ER,165,57,46,36,50,26,59.8,0
2023-02-07,ICU,25,17,14,13,20,17,34.3,0
2023-02-07,OPD,121,12,11,27,40,16,28.1,0
2023-02-07,SURGERY,37,20,14,23,25,19,59.0,0
2023-02-08,ER,144,50,36,30,50,17,53.8,0
2023-02-08,ICU,23,16,14,17,20,18,30.2,0
2023-02-08,OPD,91,9,6,30,40,21,19.3,0
2023-02-08,SURGERY,34,18,13,20,25,27,74.3,0
2023-02-09,ER,175,61,43,42,50,23,72.1,1
2023-02-09,ICU,32,22,15,14,20,21,47.7,1
2023-02-09,OPD,92,9,8,29,40,18,25.3,1
2023-02-09,SURGERY,33,18,13,23,25,14,53.1,1
2023-02-10,ER,101,35,28,49,50,22,42.1,0
2023-02-10,ICU,26,18,15,13,20,26,33.1,0
2023-02-10,OPD,75,7,5,25,40,12,16.1,0
2023-02-10,SURGERY,23,12,8,25,25,17,48.3,0
2023-02-11,ER,128,44,39,37,50,19,40.7,1
2023-02-11,ICU,30,21,14,16,20,13,40.0,1
2023-02-11,OPD,77,7,6,30,40,22,16.3,1
2023-02-11,SURGERY,34,18,16,16,25,28,63.5,1
2023-02-12,ER,106,37,29,43,50,26,38.3,0
2023-02-12,ICU,18,12,10,16,20,23,23.3,0
2023-02-12,OPD,79,7,5,27,40,19,16.3,0
2023-02-12,SURGERY,24,13,10,20,25,22,45.0,0
2023-02-13,ER,145,50,46,47,50,23,50.7,0
2023-02-13,ICU,26,18,16,17,20,12,31.3,0
2023-02-13,OPD,80,8,6,25,40,26,22.6,0
2023-02-13,SURGERY,40,22,18,21,25,18,73.2,0
2023-02-14,ER,157,54,50,45,50,18,62.9,1
2023-02-14,ICU,25,17,15,19,20,19,28.3,1
2023-02-14,OPD,110,11,9,35,40,15,25.1,1
2023-02-14,SURGERY,35,19,15,16,25,19,58.2,1
2023-02-15,ER,161,56,43,45,50,21,55.0,1
2023-02-15,ICU,28,19,17,18,20,23,31.7,1
2023-02-15,OPD,118,11,8,24,40,25,28.2,1
2023-02-15,SURGERY,42,23,19,19,25,19,75.0,1
2023-02-16,ER,139,48,36,37,50,18,44.2,0
2023-02-16,ICU,28,19,14,18,20,26,38.9,0
2023-02-16,OPD,108,10,8,27,40,22,30.7,0
2023-02-16,SURGERY,37,20,18,21,25,17,62.3,0
2023-02-17,ER,140,49,34,50,50,22,53.3,0
2023-02-17,ICU,20,14,11,19,20,16,28.7,0
2023-02-17,OPD,75,7,5,40,40,21,18.3,0
2023-02-17,SURGERY,33,18,13,25,25,20,71.2,0
2023-02-18,ER,92,32,25,30,50,22,38.0,0
2023-02-18,ICU,18,12,9,17,20,18,22.6,0
2023-02-18,OPD,68,6,4,31,40,14,17.5,0
2023-02-18,SURGERY,29,15,11,24,25,25,57.9,0
2023-02-19,ER,103,36,25,35,50,20,35.1,0
2023-02-19,ICU,20,14,10,20,20,25,24.6,0
2023-02-19,OPD,68,6,5,35,40,20,19.2,0
2023-02-19,SURGERY,15,8,7,23,25,23,31.3,0
2023-02-20,ER,120,42,32,31,50,25,36.5,0
2023-02-20,ICU,24,16,13,13,20,21,27.3,0
2023-02-20,OPD,73,7,6,37,40,20,20.6,0
2023-02-20,SURGERY,38,20,14,15,25,25,60.7,0
2023-02-21,ER,193,67,60,48,50,20,72.9,1
2023-02-21,ICU,33,23,21,12,20,18,39.2,1
2023-02-21,OPD,100,10,7,35,40,18,20.3,1
2023-02-21,SURGERY,48,26,19,19,25,17,76.0,1
2023-02-22,ER,143,50,47,43,50,24,48.2,0
2023-02-22,ICU,23,16,13,18,20,22,25.7,0
2023-02-22,OPD,81,8,5,30,40,16,20.5,0
2023-02-22,SURGERY,33,18,13,16,25,16,65.6,0
2023-02-23,ER,152,53,43,31,50,19,51.3,1
2023-02-23,ICU,29,20,17,17,20,21,41.7,1
2023-02-23,OPD,105,10,8,33,40,17,25.6,1
2023-02-23,SURGERY,40,22,20,23,25,26,73.5,1
2023-02-24,ER,149,52,40,41,50,19,50.9,0
2023-02-24,ICU,29,20,16,15,20,24,37.3,0
2023-02-24,OPD,102,10,8,31,40,12,29.2,0
2023-02-24,SURGERY,27,14,11,15,25,17,54.3,0
2023-02-25,ER,51,17,12,37,50,13,16.8,0
2023-02-25,ICU,22,15,14,20,20,18,31.5,0
2023-02-25,OPD,49,4,3,39,40,20,11.2,0
2023-02-25,SURGERY,25,13,10,18,25,15,40.7,0
2023-02-26,ER,80,28,23,43,50,20,28.0,0
2023-02-26,ICU,11,7,5,19,20,21,15.8,0
2023-02-26,OPD,74,7,5,31,40,19,17.3,0
2023-02-26,SURGERY,30,16,13,15,25,19,64.2,0
2023-02-27,ER,127,44,36,31,50,23,43.1,0
2023-02-27,ICU,15,10,9,16,20,23,18.7,0
2023-02-27,OPD,82,8,6,40,40,13,23.7,0
2023-02-27,SURGERY,37,20,15,22,25,14,69.3,0
2023-02-28,ER,108,37,33,31,50,19,42.4,0
2023-02-28,ICU,25,17,12,13,20,14,36.7,0
2023-02-28,OPD,89,8,6,37,40,13,25.1,0
2023-02-28,SURGERY,38,20,15,24,25,17,60.8,0
2023-03-01,ER,163,57,46,43,50,20,52.8,1
2023-03-01,ICU,25,17,15,17,20,14,36.2,1
2023-03-01,OPD,119,11,9,24,40,20,29.8,1
2023-03-01,SURGERY,39,21,18,24,25,16,75.1,1
2023-03-02,ER,139,48,40,47,50,17,43.2,0
2023-03-02,ICU,21,14,10,14,20,14,25.5,0
2023-03-02,OPD,84,8,7,36,40,20,20.7,0
2023-03-02,SURGERY,30,16,12,17,25,16,52.0,0
2023-03-03,ER,136,47,35,30,50,23,43.0,0
2023-03-03,ICU,31,21,17,13,20,22,34.8,0
2023-03-03,OPD,71,7,5,27,40,23,15.2,0
2023-03-03,SURGERY,26,14,9,18,25,23,53.8,0
2023-03-04,ER,135,47,40,39,50,23,51.5,0
2023-03-04,ICU,17,11,9,16,20,20,18.7,0
2023-03-04,OPD,58,5,4,32,40,20,12.6,0
2023-03-04,SURGERY,31,17,16,18,25,25,59.7,0
2023-03-05,ER,108,37,31,30,50,17,35.7,1
2023-03-05,ICU,28,19,17,17,20,22,41.3,1
2023-03-05,OPD,86,8,5,31,40,25,23.2,1
2023-03-05,SURGERY,27,14,11,18,25,25,58.2,1
2023-03-06,ER,185,64,58,49,50,21,66.9,0
2023-03-06,ICU,22,15,12,18,20,16,27.5,0
2023-03-06,OPD,100,10,8,39,40,13,25.4,0
2023-03-06,SURGERY,36,19,15,20,25,17,57.7,0
2023-03-07,ER,167,58,41,32,50,21,48.5,0
2023-03-07,ICU,30,21,17,18,20,26,32.6,0
2023-03-07,OPD,90,9,7,27,40,20,21.3,0
2023-03-07,SURGERY,31,17,15,19,25,26,52.7,0
2023-03-08,ER,149,52,39,31,50,14,46.1,0
2023-03-08,ICU,22,15,14,19,20,25,30.3,0
2023-03-08,OPD,117,11,10,26,40,19,33.7,0
2023-03-08,SURGERY,35,19,14,25,25,19,58.3,0
2023-03-09,ER,132,46,36,49,50,12,47.5,0
2023-03-09,ICU,25,17,15,16,20,16,28.4,0
2023-03-09,OPD,71,7,6,37,40,20,20.1,0
2023-03-09,SURGERY,29,15,12,21,25,18,50.5,0
2023-03-10,ER,165,57,44,48,50,22,66.4,0
2023-03-10,ICU,22,15,12,15,20,25,26.7,0
2023-03-10,OPD,75,7,6,38,40,26,20.4,0
2023-03-10,SURGERY,37,20,15,20,25,15,62.4,0
2023-03-11,ER,129,45,39,50,50,19,42.2,0
2023-03-11,ICU,21,14,9,16,20,27,24.6,0
2023-03-11,OPD,80,8,5,32,40,16,17.9,0
2023-03-11,SURGERY,22,12,9,23,25,16,46.5,0
2023-03-12,ER,90,31,24,48,50,23,33.4,1
2023-03-12,ICU,27,18,14,16,20,21,34.4,1
2023-03-12,OPD,73,7,5,27,40,18,20.9,1
2023-03-12,SURGERY,28,15,11,20,25,23,52.1,1
2023-03-13,ER,167,58,43,50,50,16,69.1,0
2023-03-13,ICU,27,18,13,18,20,19,31.7,0
2023-03-13,OPD,96,9,8,38,40,15,26.9,0
2023-03-13,SURGERY,46,25,20,15,25,18,71.4,0
2023-03-14,ER,126,44,35,40,50,18,45.3,0
2023-03-14,ICU,28,19,16,17,20,24,35.9,0
2023-03-14,OPD,90,9,8,38,40,21,22.2,0
2023-03-14,SURGERY,36,19,14,15,25,21,69.2,0
2023-03-15,ER,172,60,52,49,50,15,58.4,0
2023-03-15,ICU,26,18,15,16,20,22,40.5,0
2023-03-15,OPD,97,9,7,27,40,18,27.8,0
2023-03-15,SURGERY,40,22,15,18,25,21,88.1,0
2023-03-16,ER,132,46,39,36,50,27,54.8,0
2023-03-16,ICU,21,14,10,16,20,19,30.7,0
2023-03-16,OPD,75,7,5,24,40,17,21.6,0
2023-03-16,SURGERY,24,13,11,16,25,25,51.7,0
2023-03-17,ER,183,64,48,48,50,15,62.7,0
2023-03-17,ICU,20,14,12,13,20,22,29.1,0
2023-03-17,OPD,87,8,5,28,40,20,24.5,0
2023-03-17,SURGERY,33,18,16,20,25,25,67.0,0
2023-03-18,ER,111,38,30,41,50,12,38.1,0
2023-03-18,ICU,21,14,10,18,20,23,23.3,0
2023-03-18,OPD,79,7,5,32,40,20,21.5,0
2023-03-18,SURGERY,23,12,11,23,25,22,50.5,0
2023-03-19,ER,101,35,25,43,50,23,33.9,0
2023-03-19,ICU,19,13,9,13,20,19,21.9,0
2023-03-19,OPD,64,6,4,26,40,18,14.7,0
2023-03-19,SURGERY,34,18,15,19,25,13,66.0,0
2023-03-20,ER,171,59,49,38,50,27,56.4,1
2023-03-20,ICU,31,21,15,18,20,20,42.6,1
2023-03-20,OPD,112,11,8,34,40,19,32.0,1
2023-03-20,SURGERY,46,25,18,19,25,15,92.1,1
2023-03-21,ER,143,50,37,33,50,17,48.0,0
2023-03-21,ICU,20,14,11,14,20,20,30.6,0
2023-03-21,OPD,95,9,7,34,40,28,23.8,0
2023-03-21,SURGERY,31,17,12,19,25,18,50.6,0
2023-03-22,ER,128,44,34,41,50,18,45.2,0
2023-03-22,ICU,27,18,14,13,20,17,37.6,0
2023-03-22,OPD,106,10,9,35,40,20,29.1,0
2023-03-22,SURGERY,35,19,17,24,25,17,76.5,0
2023-03-23,ER,167,58,52,35,50,16,55.1,1
2023-03-23,ICU,35,24,18,16,20,21,40.4,1
2023-03-23,OPD,106,10,7,40,40,19,21.9,1
2023-03-23,SURGERY,53,29,22,18,25,18,108.6,1
2023-03-24,ER,151,52,39,43,50,19,59.1,0
2023-03-24,ICU,18,12,9,12,20,14,23.0,0
2023-03-24,OPD,100,10,8,34,40,24,23.5,0
2023-03-24,SURGERY,37,20,18,16,25,20,81.3,0
2023-03-25,ER,132,46,41,50,50,19,53.7,0
2023-03-25,ICU,21,14,11,18,20,15,25.0,0
2023-03-25,OPD,65,6,5,38,40,25,17.5,0
2023-03-25,SURGERY,19,10,7,22,25,16,37.4,0
2023-03-26,ER,100,35,25,43,50,22,30.9,0
2023-03-26,ICU,15,10,8,16,20,20,18.8,0
2023-03-26,OPD,59,5,3,39,40,26,12.7,0
2023-03-26,SURGERY,29,15,12,25,25,28,50.6,0
2023-03-27,ER,175,61,47,41,50,13,64.5,0
2023-03-27,ICU,26,18,15,20,20,21,32.8,0
2023-03-27,OPD,73,7,6,34,40,23,17.2,0
2023-03-27,SURGERY,37,20,15,21,25,23,70.8,0
2023-03-28,ER,165,57,51,40,50,13,49.6,0
2023-03-28,ICU,22,15,11,13,20,22,31.6,0
2023-03-28,OPD,88,8,6,24,40,22,20.7,0
2023-03-28,SURGERY,35,19,16,17,25,18,65.5,0
2023-03-29,ER,144,50,43,41,50,23,59.7,1
2023-03-29,ICU,31,21,19,15,20,17,38.6,1
2023-03-29,OPD,101,10,7,32,40,23,26.0,1
2023-03-29,SURGERY,42,23,19,25,25,24,76.1,1
2023-03-30,ER,121,42,35,37,50,22,48.9,0
2023-03-30,ICU,23,16,14,16,20,16,34.2,0
2023-03-30,OPD,99,9,6,26,40,20,21.9,0
2023-03-30,SURGERY,33,18,15,15,25,27,66.6,0
2023-03-31,ER,176,61,51,47,50,15,52.4,0
2023-03-31,ICU,23,16,12,17,20,19,35.5,0
2023-03-31,OPD,93,9,7,37,40,21,21.5,0
2023-03-31,SURGERY,39,21,16,16,25,17,82.4,0
2023-04-01,ER,90,31,26,42,50,16,29.7,1
2023-04-01,ICU,14,9,8,14,20,23,19.4,1
2023-04-01,OPD,57,5,4,28,40,20,16.4,1
2023-04-01,SURGERY,36,19,16,15,25,25,77.2,1
2023-04-02,ER,93,32,26,32,50,22,28.8,0
2023-04-02,ICU,28,19,13,14,20,13,37.6,0
2023-04-02,OPD,59,5,3,26,40,26,13.6,0
2023-04-02,SURGERY,27,14,11,25,25,21,49.7,0
2023-04-03,ER,172,60,46,36,50,17,57.2,0
2023-04-03,ICU,32,22,16,13,20,13,39.7,0
2023-04-03,OPD,117,11,9,27,40,22,29.0,0
2023-04-03,SURGERY,41,22,17,21,25,16,68.7,0
2023-04-04,ER,161,56,42,31,50,22,57.7,0
2023-04-04,ICU,27,18,14,19,20,26,32.8,0
2023-04-04,OPD,100,10,7,40,40,20,22.6,0
2023-04-04,SURGERY,32,17,15,17,25,26,65.6,0
2023-04-05,ER,122,42,38,40,50,22,35.8,0
2023-04-05,ICU,24,16,14,12,20,21,30.3,0
2023-04-05,OPD,87,8,5,35,40,22,20.6,0
2023-04-05,SURGERY,32,17,15,19,25,20,60.0,0
2023-04-06,ER,154,53,47,36,50,14,57.8,0
2023-04-06,ICU,28,19,16,13,20,23,35.2,0
2023-04-06,OPD,91,9,6,35,40,17,19.9,0
2023-04-06,SURGERY,42,23,19,19,25,28,90.3,0
2023-04-07,ER,116,40,36,34,50,20,48.2,0
2023-04-07,ICU,24,16,13,18,20,21,26.2,0
2023-04-07,OPD,80,8,6,34,40,16,19.9,0
2023-04-07,SURGERY,25,13,10,24,25,16,44.4,0
2023-04-08,ER,103,36,29,32,50,17,33.5,0
2023-04-08,ICU,18,12,8,19,20,13,22.3,0
2023-04-08,OPD,87,8,6,36,40,22,22.3,0
2023-04-08,SURGERY,29,15,10,16,25,24,48.5,0
2023-04-09,ER,83,29,23,45,50,21,33.8,0
2023-04-09,ICU,25,17,13,15,20,12,32.6,0
2023-04-09,OPD,83,8,6,40,40,24,19.0,0
2023-04-09,SURGERY,29,15,11,16,25,20,60.0,0
2023-04-10,ER,156,54,47,44,50,17,45.5,1
2023-04-10,ICU,25,17,15,15,20,18,32.2,1
2023-04-10,OPD,98,9,6,40,40,26,22.7,1
2023-04-10,SURGERY,45,24,17,18,25,26,79.9,1
2023-04-11,ER,179,62,45,50,50,19,59.5,0
2023-04-11,ICU,30,21,19,20,20,22,32.9,0
2023-04-11,OPD,83,8,6,28,40,21,17.7,0
2023-04-11,SURGERY,29,15,12,24,25,21,47.6,0
2023-04-12,ER,163,57,41,50,50,22,67.9,1
2023-04-12,ICU,22,15,12,14,20,15,24.0,1
2023-04-12,OPD,107,10,9,31,40,16,23.0,1
2023-04-12,SURGERY,39,21,19,20,25,16,86.2,1
2023-04-13,ER,151,52,44,36,50,17,55.9,1
2023-04-13,ICU,22,15,10,12,20,26,28.5,1
2023-04-13,OPD,110,11,8,27,40,18,22.8,1
2023-04-13,SURGERY,37,20,14,18,25,15,74.1,1
2023-04-14,ER,115,40,30,39,50,23,35.3,0
2023-04-14,ICU,14,9,6,13,20,16,19.6,0
2023-04-14,OPD,89,8,6,39,40,17,25.5,0
2023-04-14,SURGERY,44,24,19,22,25,22,83.9,0
2023-04-15,ER,139,48,44,31,50,24,44.0,0
2023-04-15,ICU,17,11,9,17,20,14,23.5,0
2023-04-15,OPD,59,5,4,35,40,25,14.5,0
2023-04-15,SURGERY,28,15,13,25,25,22,53.4,0
2023-04-16,ER,84,29,21,30,50,25,29.5,0
2023-04-16,ICU,19,13,11,14,20,25,26.7,0
2023-04-16,OPD,77,7,5,40,40,14,19.3,0
2023-04-16,SURGERY,32,17,14,25,25,21,71.0,0
2023-04-17,ER,137,47,36,46,50,25,54.2,0
2023-04-17,ICU,24,16,15,18,20,19,29.0,0
2023-04-17,OPD,78,7,5,25,40,20,20.6,0
2023-04-17,SURGERY,30,16,12,20,25,17,50.7,0
2023-04-18,ER,135,47,43,35,50,19,52.6,0
2023-04-18,ICU,26,18,12,13,20,21,29.9,0
2023-04-18,OPD,102,10,8,38,40,17,24.7,0
2023-04-18,SURGERY,30,16,14,16,25,20,62.5,0
2023-04-19,ER,171,59,53,40,50,19,55.6,0
2023-04-19,ICU,23,16,15,20,20,24,34.1,0
2023-04-19,OPD,89,8,7,27,40,26,22.9,0
2023-04-19,SURGERY,31,17,12,25,25,18,56.3,0
2023-04-20,ER,110,38,34,50,50,16,37.8,1
2023-04-20,ICU,32,22,18,17,20,20,48.8,1
2023-04-20,OPD,113,11,9,27,40,21,24.8,1
2023-04-20,SURGERY,38,20,14,18,25,20,76.7,1
2023-04-21,ER,141,49,42,39,50,21,53.6,0
2023-04-21,ICU,26,18,17,14,20,16,39.6,0
2023-04-21,OPD,68,6,5,29,40,18,17.9,0
2023-04-21,SURGERY,32,17,13,25,25,15,62.2,0
2023-04-22,ER,137,47,33,33,50,13,55.5,1
2023-04-22,ICU,16,11,8,18,20,22,23.6,1
2023-04-22,OPD,81,8,7,24,40,23,21.4,1
2023-04-22,SURGERY,23,12,10,21,25,22,36.0,1
2023-04-23,ER,114,39,31,50,50,15,38.5,0
2023-04-23,ICU,18,12,8,14,20,17,24.9,0
2023-04-23,OPD,45,4,3,27,40,22,11.1,0
2023-04-23,SURGERY,32,17,13,22,25,18,56.4,0
2023-04-24,ER,145,50,46,46,50,19,44.6,1
2023-04-24,ICU,25,17,14,18,20,21,33.6,1
2023-04-24,OPD,106,10,7,29,40,19,23.9,1
2023-04-24,SURGERY,46,25,20,17,25,24,78.3,1
2023-04-25,ER,118,41,29,50,50,24,40.2,0
2023-04-25,ICU,25,17,16,20,20,19,36.4,0
2023-04-25,OPD,95,9,7,32,40,18,23.1,0
2023-04-25,SURGERY,38,20,16,24,25,20,64.3,0
2023-04-26,ER,164,57,44,40,50,22,49.9,1
2023-04-26,ICU,27,18,15,15,20,19,35.6,1
2023-04-26,OPD,92,9,7,26,40,26,24.9,1
2023-04-26,SURGERY,40,22,19,19,25,13,79.6,1
2023-04-27,ER,117,40,30,42,50,26,37.3,0
2023-04-27,ICU,14,9,7,12,20,20,18.1,0
2023-04-27,OPD,95,9,6,31,40,19,26.2,0
2023-04-27,SURGERY,39,21,18,23,25,19,64.9,0
2023-04-28,ER,90,31,22,45,50,23,32.2,0
2023-04-28,ICU,21,14,11,17,20,17,26.3,0
2023-04-28,OPD,98,9,8,40,40,24,20.7,0
2023-04-28,SURGERY,45,24,22,15,25,12,71.0,0
2023-04-29,ER,105,36,29,42,50,24,37.9,0
2023-04-29,ICU,16,11,8,19,20,21,17.4,0
2023-04-29,OPD,65,6,4,33,40,19,13.6,0
