policy_id,policy_start_date,vehicle_type,policy_type,region,vehicle_age,driver_age,base_premium,discount_pct,final_premium,expected_claim_cost,policy_year,underwriting_margin
POL10073,5/14/2023,SUV,Comprehensive,North,12,41,19100,0,19100,14704.27504,2023,4395.724957
POL10074,8/17/2023,Hatchback,Comprehensive,North,1,61,10800,0,10800,5592.21385,2023,5207.78615
POL10075,5/27/2024,Sedan,Comprehensive,West,6,31,14300,0,14300,11156.35369,2024,3143.646311
POL10076,12/24/2023,Sedan,Comprehensive,West,9,48,15200,5,14440,8018.638186,2023,6421.361814
POL10077,11/12/2023,Sedan,Third Party,North,3,47,10900,5,10355,6362.511149,2023,3992.488851
POL10078,12/24/2024,Sedan,Third Party,North,13,55,13900,10,12510,9756.798766,2024,2753.201234
POL10079,9/13/2023,Sedan,Comprehensive,South,7,50,14600,10,13140,5493.66933,2023,7646.33067
POL10080,4/29/2023,Sedan,Comprehensive,South,14,31,16700,5,15865,8763.133376,2023,7101.866624
POL10081,11/19/2024,SUV,Comprehensive,East,14,21,21700,0,21700,9334.116644,2024,12365.88336
POL10082,4/20/2024,SUV,Comprehensive,South,2,43,16100,10,14490,11271.86217,2024,3218.13783
POL10083,4/2/2024,Sedan,Third Party,North,13,21,15900,15,13515,8682.980074,2024,4832.019926
POL10084,3/21/2024,SUV,Comprehensive,South,11,51,18800,0,18800,12570.23043,2024,6229.769569
POL10085,11/4/2024,Sedan,Comprehensive,South,11,21,17800,5,16910,10558.18444,2024,6351.815561
POL10086,2/5/2024,Hatchback,Third Party,East,4,41,9200,5,8740,6310.436158,2024,2429.563842
POL10087,4/13/2023,Hatchback,Third Party,South,1,54,8300,5,7885,4903.888429,2023,2981.111571
POL10088,3/10/2024,Luxury,Third Party,South,0,44,18000,15,15300,7943.511843,2024,7356.488157
POL10089,4/16/2023,SUV,Comprehensive,West,9,37,18200,5,17290,8702.018189,2023,8587.981811
POL10090,3/10/2023,Luxury,Comprehensive,North,13,63,24400,5,23180,12438.97409,2023,10741.02591
POL10091,4/21/2023,Hatchback,Third Party,East,10,36,11000,5,10450,4940.258753,2023,5509.741247
POL10092,11/26/2024,Sedan,Comprehensive,East,12,52,16100,0,16100,7678.341281,2024,8421.658719
POL10093,2/7/2024,SUV,Third Party,South,12,42,16600,0,16600,7441.022184,2024,9158.977816
POL10094,8/21/2023,Sedan,Comprehensive,North,13,46,16400,5,15580,6476.993255,2023,9103.006745
POL10095,9/6/2023,Sedan,Comprehensive,West,13,63,16400,15,13940,5916.570704,2023,8023.429296
POL10096,1/26/2023,SUV,Third Party,East,12,35,16600,5,15770,12136.85542,2023,3633.144584
POL10097,6/9/2024,Sedan,Third Party,West,1,46,10300,0,10300,5160.040211,2024,5139.959789
POL10098,1/7/2023,SUV,Comprehensive,East,14,38,19700,0,19700,12077.02406,2023,7622.97594
POL10099,1/15/2023,Hatchback,Comprehensive,West,9,59,13200,0,13200,6396.445477,2023,6803.554523
POL10100,4/18/2024,Sedan,Third Party,North,3,45,10900,5,10355,7410.74727,2024,2944.25273
POL10101,4/19/2023,Sedan,Comprehensive,South,1,28,12800,5,12160,7609.526351,2023,4550.473649
POL10102,7/7/2024,Hatchback,Third Party,South,1,26,8300,5,7885,3902.213301,2024,3982.786699
POL10103,10/23/2024,Hatchback,Third Party,West,3,50,8900,0,8900,4574.938801,2024,4325.061199
POL10104,8/29/2024,Hatchback,Comprehensive,East,2,51,11100,0,11100,8801.761059,2024,2298.238941
POL10105,8/11/2023,SUV,Comprehensive,East,3,35,16400,10,14760,7426.658291,2023,7333.341709
POL10106,5/18/2024,SUV,Comprehensive,South,14,31,19700,5,18715,9581.923495,2024,9133.076505
POL10107,10/27/2023,Hatchback,Comprehensive,West,2,40,11100,5,10545,5240.484251,2023,5304.515749
POL10108,7/12/2024,SUV,Comprehensive,South,4,31,16700,15,14195,7498.606367,2024,6696.393633
POL10109,9/16/2023,Hatchback,Third Party,South,4,43,9200,5,8740,4201.249696,2023,4538.750304
POL10110,6/17/2023,SUV,Third Party,North,8,37,15400,0,15400,9074.703798,2023,6325.296202
POL10111,7/3/2024,Sedan,Third Party,North,4,64,11200,0,11200,8659.562541,2024,2540.437459
POL10112,4/3/2024,Luxury,Third Party,East,0,60,18000,10,16200,6791.653293,2024,9408.346707
POL10113,12/15/2023,Hatchback,Comprehensive,South,11,50,13800,10,12420,5894.059974,2023,6525.940026
POL10114,1/14/2024,Sedan,Comprehensive,North,12,62,16100,0,16100,11698.90039,2024,4401.09961
POL10115,10/22/2023,SUV,Comprehensive,North,5,53,17000,10,15300,9196.648787,2023,6103.351213
POL10116,10/26/2024,Sedan,Third Party,South,13,60,13900,0,13900,8578.242167,2024,5321.757833
POL10117,7/17/2023,Luxury,Comprehensive,West,9,35,23200,10,20880,12489.77813,2023,8390.221872
POL10118,4/22/2024,SUV,Comprehensive,South,8,53,17900,10,16110,11461.11758,2024,4648.882425
POL10119,10/16/2023,Hatchback,Comprehensive,South,4,30,11700,0,11700,8523.484186,2023,3176.515814
POL10120,6/8/2023,Sedan,Comprehensive,West,7,35,14600,10,13140,6043.965998,2023,7096.034002
POL10121,2/16/2023,Sedan,Comprehensive,East,14,56,16700,5,15865,7943.916828,2023,7921.083172
POL10122,3/10/2023,SUV,Comprehensive,West,5,26,17000,0,17000,9941.639465,2023,7058.360535
POL10123,10/29/2023,Sedan,Comprehensive,West,13,38,16400,5,15580,6344.862666,2023,9235.137334
POL10124,11/13/2024,Luxury,Comprehensive,West,4,57,21700,10,19530,9003.635003,2024,10526.365
POL10125,8/26/2024,Sedan,Third Party,East,12,34,13600,15,11560,8903.828804,2024,2656.171196
POL10126,2/11/2024,Hatchback,Third Party,South,13,56,11900,0,11900,9143.207361,2024,2756.792639
POL10127,7/20/2024,Hatchback,Comprehensive,East,8,29,12900,0,12900,9224.995826,2024,3675.004174
POL10128,10/27/2024,Hatchback,Third Party,North,9,31,10700,15,9095,5332.217045,2024,3762.782955
POL10129,4/19/2024,SUV,Comprehensive,East,10,64,18500,15,15725,7851.344325,2024,7873.655675
POL10130,1/25/2023,Sedan,Comprehensive,West,0,49,12500,5,11875,7753.255368,2023,4121.744632
POL10131,6/5/2023,Hatchback,Comprehensive,North,3,61,11400,0,11400,6450.686004,2023,4949.313996
POL10132,4/20/2024,Sedan,Third Party,East,0,52,10000,0,10000,6999.841882,2024,3000.158118
POL10133,12/23/2024,Hatchback,Comprehensive,North,12,49,14100,5,13395,8384.418792,2024,5010.581208
POL10134,1/18/2023,Hatchback,Comprehensive,South,1,48,10800,5,10260,6143.737038,2023,4116.262962
POL10135,10/5/2024,Hatchback,Comprehensive,East,2,52,11100,0,11100,8424.59102,2024,2675.40898
POL10136,6/11/2023,Sedan,Third Party,West,1,27,10300,5,9785,4020.053715,2023,5764.946285
POL10137,3/18/2024,Sedan,Comprehensive,North,14,57,16700,0,16700,11040.344,2024,5659.656
POL10138,9/21/2023,Hatchback,Third Party,South,7,63,10100,15,8585,6677.102998,2023,1907.897002
POL10139,7/1/2023,Hatchback,Third Party,West,1,27,8300,5,7885,5475.04315,2023,2409.95685
POL10140,3/26/2023,Hatchback,Third Party,West,12,38,11600,10,10440,7589.644314,2023,2850.355686
POL10141,6/6/2024,Hatchback,Third Party,East,6,32,9800,10,8820,4745.837887,2024,4074.162113
POL10142,9/13/2023,Sedan,Comprehensive,West,2,42,13100,10,11790,5254.746059,2023,6535.253941
POL10143,6/7/2023,Sedan,Comprehensive,West,0,37,12500,0,12500,7708.171073,2023,4791.828927
POL10144,8/25/2023,Sedan,Third Party,South,10,24,15000,0,15000,11403.43381,2023,3596.566193
POL10145,9/1/2024,Hatchback,Third Party,South,4,62,9200,5,8740,4454.097052,2024,4285.902948
POL10146,1/17/2023,Sedan,Comprehensive,West,6,62,14300,0,14300,7228.271351,2023,7071.728649
POL10147,10/14/2023,SUV,Comprehensive,West,12,27,19100,5,18145,13340.98034,2023,4804.019661
POL10148,4/20/2024,SUV,Comprehensive,South,11,63,18800,0,18800,8199.333944,2024,10600.66606
POL10149,1/6/2024,Hatchback,Third Party,West,10,56,11000,10,9900,5136.601994,2024,4763.398006
POL10150,8/15/2023,Luxury,Third Party,West,5,42,19500,10,17550,8528.881458,2023,9021.118542
POL10151,7/1/2024,Sedan,Third Party,West,10,37,13000,5,12350,7888.403674,2024,4461.596326
POL10152,4/26/2024,Sedan,Comprehensive,North,8,60,14900,10,13410,8021.81542,2024,5388.18458
POL10153,9/7/2024,Sedan,Third Party,East,1,57,10300,0,10300,8106.921479,2024,2193.078521
POL10154,4/12/2023,Sedan,Third Party,West,10,37,13000,15,11050,6391.345516,2023,4658.654484
POL10155,1/12/2023,Sedan,Comprehensive,West,14,41,16700,10,15030,10365.30922,2023,4664.690784
POL10156,12/10/2024,Luxury,Comprehensive,West,14,46,24700,0,24700,16498.78455,2024,8201.21545
POL10157,10/15/2023,SUV,Comprehensive,East,9,41,18200,5,17290,9079.704188,2023,8210.295812
POL10158,12/1/2023,SUV,Third Party,West,7,43,15100,10,13590,9486.170884,2023,4103.829116
POL10159,1/7/2024,SUV,Third Party,South,6,37,14800,5,14060,7675.057331,2024,6384.942669
POL10160,9/11/2024,Hatchback,Third Party,North,10,60,11000,0,11000,6179.735979,2024,4820.264021
POL10161,2/8/2023,Hatchback,Comprehensive,North,5,45,12000,10,10800,6567.126235,2023,4232.873765
POL10162,5/7/2024,Sedan,Third Party,East,2,62,10600,15,9010,3604.856035,2024,5405.143965
POL10163,5/21/2023,Sedan,Comprehensive,East,6,49,14300,10,12870,7217.140343,2023,5652.859657
POL10164,9/2/2023,Sedan,Comprehensive,West,14,30,16700,0,16700,8926.954698,2023,7773.045302
POL10165,12/6/2023,SUV,Third Party,East,12,34,16600,0,16600,12302.7369,2023,4297.263104
POL10166,5/26/2023,Hatchback,Third Party,North,4,35,9200,0,9200,5094.322062,2023,4105.677938
POL10167,12/10/2023,Hatchback,Comprehensive,North,12,57,14100,0,14100,7995.155575,2023,6104.844425
POL10168,3/15/2024,SUV,Comprehensive,South,12,54,19100,0,19100,15212.5283,2024,3887.471696
POL10169,7/24/2024,Sedan,Comprehensive,South,4,30,13700,0,13700,7584.816551,2024,6115.183449
POL10170,5/20/2024,SUV,Third Party,North,5,43,14500,10,13050,10062.86692,2024,2987.133082
POL10171,7/26/2024,Hatchback,Comprehensive,South,13,37,14400,0,14400,10459.1988,2024,3940.8012
POL10172,4/30/2023,SUV,Third Party,West,13,57,16900,0,16900,12691.63543,2023,4208.364569
POL10173,11/19/2023,Hatchback,Comprehensive,East,8,54,12900,10,11610,8403.392651,2023,3206.607349
POL10174,2/9/2023,Luxury,Comprehensive,South,7,35,22600,0,22600,15329.25721,2023,7270.742793
POL10175,6/25/2023,Sedan,Third Party,West,12,48,13600,0,13600,10070.56561,2023,3529.434388
POL10176,2/9/2023,SUV,Comprehensive,East,9,23,20200,0,20200,13558.37051,2023,6641.629487
POL10177,10/16/2023,SUV,Comprehensive,West,11,53,18800,0,18800,8726.208792,2023,10073.79121
POL10178,12/29/2023,Hatchback,Comprehensive,West,14,47,14700,10,13230,6131.338217,2023,7098.661783
POL10179,7/10/2024,SUV,Third Party,East,9,30,15700,10,14130,6944.189413,2024,7185.810587
POL10180,7/4/2024,Hatchback,Comprehensive,South,12,49,14100,0,14100,6729.269356,2024,7370.730644
POL10181,6/8/2024,Sedan,Comprehensive,North,7,51,14600,0,14600,5892.982843,2024,8707.017157
POL10182,12/31/2023,SUV,Third Party,South,6,30,14800,0,14800,10893.5193,2023,3906.480704
POL10183,2/16/2024,Sedan,Comprehensive,North,5,24,16000,0,16000,11333.46629,2024,4666.533705
POL10184,11/20/2023,Hatchback,Comprehensive,South,0,30,10500,5,9975,4221.102638,2023,5753.897362
POL10185,4/30/2023,Hatchback,Comprehensive,West,14,49,14700,0,14700,9687.733023,2023,5012.266977
POL10186,1/16/2024,Sedan,Third Party,North,5,35,11500,10,10350,5185.386224,2024,5164.613776
POL10187,6/21/2024,Hatchback,Comprehensive,West,0,55,10500,5,9975,4642.859047,2024,5332.140953
POL10188,6/6/2023,Hatchback,Comprehensive,East,13,40,14400,5,13680,6967.276132,2023,6712.723868
POL10189,1/17/2024,Hatchback,Comprehensive,North,14,36,14700,10,13230,10396.24234,2024,2833.757661
POL10190,10/20/2024,Hatchback,Comprehensive,North,9,58,13200,0,13200,6405.192837,2024,6794.807163
POL10191,6/7/2024,Sedan,Comprehensive,East,7,45,14600,10,13140,9337.793058,2024,3802.206942
POL10192,8/13/2024,Sedan,Comprehensive,East,2,49,13100,0,13100,5410.437181,2024,7689.562819
POL10193,1/13/2024,Sedan,Comprehensive,North,13,34,16400,5,15580,10016.73379,2024,5563.266214
POL10194,6/4/2024,Hatchback,Comprehensive,East,5,22,14000,10,12600,6604.224273,2024,5995.775727
POL10195,12/17/2024,Hatchback,Comprehensive,South,1,51,10800,10,9720,6442.353238,2024,3277.646762
POL10196,12/29/2024,SUV,Comprehensive,West,10,42,18500,10,16650,7631.841013,2024,9018.158987
POL10197,8/10/2024,Luxury,Third Party,West,5,42,19500,0,19500,10498.92923,2024,9001.070772
POL10198,8/30/2023,Hatchback,Comprehensive,North,8,33,12900,0,12900,9414.492482,2023,3485.507518
POL10199,10/27/2024,Sedan,Third Party,East,9,35,12700,0,12700,5930.811518,2024,6769.188482
POL10200,11/1/2023,Luxury,Third Party,East,5,29,19500,15,16575,6974.569611,2023,9600.430389
POL10201,2/20/2024,Hatchback,Comprehensive,West,1,48,10800,10,9720,5207.782349,2024,4512.217651
POL10202,9/8/2023,Sedan,Comprehensive,West,3,26,13400,10,12060,7005.983405,2023,5054.016595
POL10203,5/29/2024,Hatchback,Third Party,South,10,38,11000,0,11000,5487.25423,2024,5512.74577
POL10204,6/20/2024,SUV,Third Party,East,13,56,16900,10,15210,11388.23063,2024,3821.769373
POL10205,11/5/2023,SUV,Comprehensive,South,5,38,17000,5,16150,8606.75248,2023,7543.24752
POL10206,11/8/2023,Luxury,Comprehensive,South,2,55,21100,0,21100,11971.29422,2023,9128.705784
POL10207,7/26/2023,Hatchback,Comprehensive,South,4,51,11700,0,11700,8640.427967,2023,3059.572033
POL10208,5/30/2024,SUV,Comprehensive,West,7,52,17600,5,16720,6884.590053,2024,9835.409947
POL10209,5/26/2024,Sedan,Comprehensive,West,5,59,14000,0,14000,8917.16184,2024,5082.83816
POL10210,9/3/2023,Sedan,Third Party,South,7,41,12100,10,10890,4929.108836,2023,5960.891164
POL10211,6/3/2024,Sedan,Comprehensive,South,11,34,15800,15,13430,6344.20819,2024,7085.79181
POL10212,7/6/2024,Hatchback,Comprehensive,East,13,59,14400,0,14400,9175.396904,2024,5224.603096
POL10213,5/25/2023,Sedan,Comprehensive,South,2,57,13100,0,13100,8323.282199,2023,4776.717801
POL10214,4/4/2024,Hatchback,Comprehensive,East,14,31,14700,10,13230,7631.192986,2024,5598.807014
POL10215,8/14/2024,Sedan,Third Party,South,8,21,14400,0,14400,9146.213978,2024,5253.786022
POL10216,5/27/2024,Hatchback,Third Party,West,8,63,10400,10,9360,6229.284151,2024,3130.715849
POL10217,6/14/2023,SUV,Comprehensive,West,11,35,18800,5,17860,11001.08732,2023,6858.912683
POL10218,11/30/2023,Hatchback,Comprehensive,West,9,49,13200,5,12540,6143.101104,2023,6396.898896
POL10219,4/29/2024,Luxury,Third Party,North,2,34,18600,5,17670,9876.67469,2024,7793.32531
POL10220,8/30/2023,Luxury,Third Party,South,8,49,20400,10,18360,10683.6095,2023,7676.3905
POL10221,5/9/2024,Sedan,Third Party,South,3,43,10900,0,10900,5702.574545,2024,5197.425455
POL10222,12/2/2023,Luxury,Comprehensive,West,1,41,20800,0,20800,13916.04962,2023,6883.950376
POL10223,12/18/2023,Hatchback,Comprehensive,East,1,21,12800,10,11520,8960.782323,2023,2559.217677
POL10224,2/18/2024,Sedan,Comprehensive,West,14,60,16700,10,15030,6692.016232,2024,8337.983768
POL10225,12/11/2023,SUV,Comprehensive,East,14,36,19700,10,17730,11822.162,2023,5907.838002
POL10226,12/27/2023,Hatchback,Comprehensive,South,5,29,12000,10,10800,8611.215569,2023,2188.784431
POL10227,8/7/2024,Hatchback,Third Party,East,3,54,8900,0,8900,4724.238055,2024,4175.761945
POL10228,9/5/2024,Sedan,Comprehensive,North,8,43,14900,0,14900,10834.29193,2024,4065.708072
POL10229,12/10/2023,Hatchback,Comprehensive,North,14,21,16700,0,16700,9326.43358,2023,7373.56642
POL10230,8/27/2024,Sedan,Third Party,North,2,64,10600,0,10600,6729.141641,2024,3870.858359
POL10231,9/13/2024,Sedan,Comprehensive,North,2,41,13100,10,11790,7163.989699,2024,4626.010301
POL10232,3/29/2024,Luxury,Comprehensive,North,11,25,23800,0,23800,15043.24096,2024,8756.759045
POL10233,10/27/2023,Sedan,Third Party,East,5,64,11500,15,9775,3981.289398,2023,5793.710602
POL10234,2/11/2024,Sedan,Comprehensive,North,11,35,15800,0,15800,12178.85832,2024,3621.141677
POL10235,11/20/2023,Luxury,Third Party,South,13,24,23900,0,23900,12283.38494,2023,11616.61506
POL10236,6/22/2024,Luxury,Comprehensive,West,9,56,23200,10,20880,11692.00829,2024,9187.991713
POL10237,8/11/2024,Sedan,Third Party,East,6,51,11800,10,10620,7645.470093,2024,2974.529907
POL10238,6/8/2023,SUV,Third Party,South,12,62,16600,15,14110,8040.032788,2023,6069.967212
POL10239,1/20/2024,Sedan,Comprehensive,East,10,33,15500,5,14725,10715.02238,2024,4009.977618
POL10240,12/26/2024,Sedan,Comprehensive,East,9,44,15200,0,15200,11186.35672,2024,4013.643279
POL10241,8/6/2024,SUV,Comprehensive,East,4,24,18700,0,18700,13633.1551,2024,5066.844898
POL10242,3/1/2023,SUV,Comprehensive,East,3,30,16400,5,15580,9887.743943,2023,5692.256057
POL10243,11/17/2024,Hatchback,Comprehensive,North,6,41,12300,0,12300,5036.301843,2024,7263.698157
POL10244,10/16/2024,Hatchback,Third Party,East,9,29,10700,0,10700,6824.358715,2024,3875.641285
POL10245,9/11/2023,Hatchback,Third Party,East,4,38,9200,0,9200,5255.774583,2023,3944.225417
POL10246,6/16/2023,SUV,Third Party,West,11,39,16300,5,15485,8282.78486,2023,7202.21514
POL10247,10/15/2023,Hatchback,Third Party,West,4,53,9200,5,8740,4898.552947,2023,3841.447053
POL10248,12/19/2023,Hatchback,Third Party,West,12,22,13600,5,12920,5529.406538,2023,7390.593462
POL10249,6/9/2023,Sedan,Comprehensive,South,2,64,13100,0,13100,6984.930024,2023,6115.069976
POL10250,5/10/2023,Luxury,Comprehensive,North,2,54,21100,0,21100,11255.327,2023,9844.673002
POL10251,10/23/2024,Sedan,Comprehensive,North,12,51,16100,10,14490,6784.09013,2024,7705.90987
POL10252,9/9/2024,Hatchback,Comprehensive,West,11,37,13800,0,13800,10936.42479,2024,2863.575214
POL10253,5/29/2024,Luxury,Third Party,West,2,60,18600,0,18600,12924.62087,2024,5675.379126
POL10254,9/5/2023,Sedan,Comprehensive,North,3,26,13400,0,13400,9583.154657,2023,3816.845343
POL10255,6/10/2023,Sedan,Comprehensive,West,1,34,12800,0,12800,6284.069376,2023,6515.930624
POL10256,7/31/2024,Sedan,Third Party,North,8,21,14400,0,14400,8046.613538,2024,6353.386462
POL10257,2/11/2024,Luxury,Comprehensive,South,2,42,21100,5,20045,15973.12296,2024,4071.877037
POL10258,4/11/2023,Sedan,Comprehensive,North,9,58,15200,10,13680,7554.770662,2023,6125.229338
POL10259,8/4/2023,Sedan,Comprehensive,East,6,34,14300,0,14300,8025.046623,2023,6274.953377
POL10260,7/31/2024,Hatchback,Third Party,South,3,38,8900,5,8455,6163.629266,2024,2291.370734
POL10261,9/10/2023,SUV,Comprehensive,South,0,36,15500,10,13950,6555.59954,2023,7394.40046
POL10262,4/27/2024,Sedan,Third Party,North,1,28,10300,5,9785,5894.90497,2024,3890.09503
POL10263,3/20/2023,Luxury,Comprehensive,West,11,33,23800,15,20230,15181.44322,2023,5048.556781
POL10264,3/22/2024,Sedan,Third Party,South,1,43,10300,0,10300,4372.760464,2024,5927.239536
