date,product_id,sales_qty,inventory_qty,purchase_qty,unit_price
2023-06-07,P001,28,328,23,173
2023-06-08,P001,25,303,7,173
2023-06-09,P001,20,283,7,173
2023-06-10,P001,19,264,38,173
2023-06-11,P001,21,243,6,173
2023-06-12,P001,20,223,31,173
2023-06-13,P001,30,193,27,173
2023-06-14,P001,21,172,36,173
2023-06-15,P001,29,143,39,173
2023-06-16,P001,20,415,22,173
2023-06-17,P001,26,389,31,173
2023-06-18,P001,28,361,15,173
2023-06-19,P001,24,337,23,173
2023-06-20,P001,19,318,29,173
2023-06-21,P001,26,292,11,173
2023-06-22,P001,22,270,35,173
2023-06-23,P001,24,246,6,173
2023-06-24,P001,21,225,9,173
2023-06-25,P001,21,204,18,173
2023-06-26,P001,27,177,22,173
2023-06-27,P001,29,148,8,173
2023-06-28,P001,33,549,28,173
2023-06-29,P001,23,526,17,173
2023-06-30,P001,20,506,25,173
2023-07-01,P001,35,471,37,173
2023-07-02,P001,25,446,24,173
2023-07-03,P001,20,426,9,173
2023-07-04,P001,24,402,28,173
2023-07-05,P001,25,377,39,173
2023-07-06,P001,29,348,34,173
2023-07-07,P001,27,321,32,173
2023-07-08,P001,18,303,11,173
2023-07-09,P001,29,274,39,173
2023-07-10,P001,19,255,34,173
2023-07-11,P001,26,229,38,173
2023-07-12,P001,18,211,13,173
2023-07-13,P001,21,190,16,173
2023-07-14,P001,22,168,33,173
2023-07-15,P001,24,144,14,173
2023-07-16,P001,25,444,31,173
2023-07-17,P001,29,415,23,173
2023-07-18,P001,24,391,17,173
2023-07-19,P001,31,360,36,173
2023-07-20,P001,23,337,19,173
2023-07-21,P001,31,306,25,173
2023-07-22,P001,23,283,7,173
2023-07-23,P001,21,262,12,173
2023-07-24,P001,16,246,10,173
2023-07-25,P001,35,211,33,173
2023-07-26,P001,28,183,23,173
2023-07-27,P001,29,154,21,173
2023-07-28,P001,30,504,14,173
2023-07-29,P001,29,475,37,173
2023-07-30,P001,19,456,17,173
2023-07-31,P001,30,426,31,173
2023-08-01,P001,23,403,16,173
2023-08-02,P001,23,380,6,173
2023-08-03,P001,26,354,14,173
2023-08-04,P001,17,337,25,173
2023-08-05,P001,25,312,27,173
2023-08-06,P001,21,291,5,173
2023-08-07,P001,25,266,37,173
2023-08-08,P001,34,232,30,173
2023-08-09,P001,24,208,19,173
2023-08-10,P001,30,178,26,173
2023-08-11,P001,18,160,29,173
2023-08-12,P001,26,134,5,173
2023-08-13,P001,29,500,30,173
2023-08-14,P001,27,473,25,173
2023-08-15,P001,16,457,28,173
2023-08-16,P001,21,436,20,173
2023-08-17,P001,28,408,36,173
2023-08-18,P001,26,382,20,173
2023-08-19,P001,23,359,17,173
2023-08-20,P001,21,338,36,173
2023-08-21,P001,26,312,28,173
2023-08-22,P001,14,298,17,173
2023-08-23,P001,30,268,15,173
2023-08-24,P001,30,238,19,173
2023-08-25,P001,30,208,14,173
2023-08-26,P001,17,191,7,173
2023-08-27,P001,33,158,20,173
2023-08-28,P001,25,133,21,173
2023-08-29,P001,19,575,29,173
2023-08-30,P001,30,545,34,173
2023-08-31,P001,19,526,39,173
2023-09-01,P001,25,501,17,173
2023-09-02,P001,20,481,28,173
2023-09-03,P001,17,464,30,173
2023-09-04,P001,23,441,13,173
2023-09-05,P001,26,415,23,173
2023-09-06,P001,26,389,32,173
2023-09-07,P001,35,354,11,173
2023-09-08,P001,30,324,26,173
2023-09-09,P001,22,302,34,173
2023-09-10,P001,17,285,20,173
2023-09-11,P001,28,257,9,173
2023-09-12,P001,17,240,33,173
2023-09-13,P001,28,212,27,173
2023-09-14,P001,13,199,10,173
2023-09-15,P001,23,176,37,173
2023-09-16,P001,26,150,20,173
2023-09-17,P001,23,127,38,173
2023-09-18,P001,33,451,30,173
2023-09-19,P001,24,427,17,173
2023-09-20,P001,18,409,21,173
2023-09-21,P001,27,382,36,173
2023-09-22,P001,25,357,36,173
2023-09-23,P001,30,327,32,173
2023-09-24,P001,21,306,33,173
2023-09-25,P001,22,284,29,173
2023-09-26,P001,25,259,26,173
2023-09-27,P001,35,224,31,173
2023-09-28,P001,22,202,24,173
2023-09-29,P001,22,180,28,173
2023-09-30,P001,25,155,12,173
2023-10-01,P001,25,130,18,173
2023-10-02,P001,23,398,18,173
2023-10-03,P001,24,374,9,173
2023-10-04,P001,28,346,25,173
2023-10-05,P001,31,315,19,173
2023-10-06,P001,23,292,37,173
2023-10-07,P001,26,266,21,173
2023-10-08,P001,22,244,24,173
2023-10-09,P001,26,218,5,173
2023-10-10,P001,34,184,20,173
2023-10-11,P001,31,153,22,173
2023-10-12,P001,23,130,14,173
2023-10-13,P001,27,582,27,173
2023-10-14,P001,26,556,22,173
2023-10-15,P001,26,530,13,173
2023-10-16,P001,22,508,34,173
2023-10-17,P001,30,478,17,173
2023-10-18,P001,22,456,35,173
2023-10-19,P001,30,426,17,173
2023-10-20,P001,36,390,36,173
2023-10-21,P001,20,370,21,173
2023-10-22,P001,22,348,7,173
2023-10-23,P001,27,321,5,173
2023-10-24,P001,31,290,9,173
2023-10-25,P001,27,263,36,173
2023-10-26,P001,22,241,29,173
2023-10-27,P001,21,220,9,173
2023-10-28,P001,21,199,27,173
2023-10-29,P001,32,167,16,173
2023-10-30,P001,28,139,38,173
2023-10-31,P001,32,526,27,173
2023-11-01,P001,20,506,20,173
2023-11-02,P001,27,479,9,173
2023-11-03,P001,18,461,32,173
2023-11-04,P001,28,433,10,173
2023-11-05,P001,25,408,17,173
2023-11-06,P001,23,385,34,173
2023-11-07,P001,25,360,30,173
2023-11-08,P001,18,342,21,173
2023-11-09,P001,28,314,13,173
2023-11-10,P001,21,293,20,173
2023-11-11,P001,20,273,22,173
2023-11-12,P001,22,251,17,173
2023-11-13,P001,25,226,33,173
2023-11-14,P001,26,200,28,173
2023-11-15,P001,33,167,17,173
2023-11-16,P001,23,144,29,173
2023-11-17,P001,29,395,5,173
2023-11-18,P001,24,371,13,173
2023-11-19,P001,21,350,8,173
2023-11-20,P001,19,331,32,173
2023-11-21,P001,23,308,16,173
2023-11-22,P001,28,280,28,173
2023-11-23,P001,22,258,13,173
2023-11-24,P001,20,238,39,173
2023-11-25,P001,25,213,39,173
2023-11-26,P001,19,194,37,173
2023-11-27,P001,25,169,39,173
2023-11-28,P001,19,150,24,173
2023-11-29,P001,27,349,6,173
2023-11-30,P001,27,322,30,173
2023-12-01,P001,31,291,17,173
2023-12-02,P001,31,260,34,173
2023-12-03,P001,27,233,36,173
2023-12-04,P001,20,213,23,173
2023-12-05,P001,24,189,26,173
2023-12-06,P001,25,164,5,173
2023-12-07,P001,30,134,15,173
2023-12-08,P001,15,454,30,173
2023-12-09,P001,34,420,23,173
2023-12-10,P001,27,393,23,173
2023-12-11,P001,30,363,16,173
2023-12-12,P001,31,332,7,173
2023-12-13,P001,32,300,22,173
2023-12-14,P001,22,278,9,173
2023-12-15,P001,30,248,28,173
2023-12-16,P001,21,227,18,173
2023-12-17,P001,26,201,7,173
2023-12-18,P001,25,176,10,173
2023-12-19,P001,33,143,16,173
2023-12-20,P001,24,382,15,173
2023-12-21,P001,32,350,30,173
2023-12-22,P001,25,325,5,173
2023-12-23,P001,31,294,20,173
2023-12-24,P001,28,266,13,173
2023-12-25,P001,24,242,9,173
2023-12-26,P001,24,218,12,173
2023-12-27,P001,21,197,25,173
2023-12-28,P001,22,175,37,173
2023-12-29,P001,17,158,24,173
2023-12-30,P001,24,134,26,173
2023-12-31,P001,28,348,17,173
2024-01-01,P001,27,321,15,173
2024-01-02,P001,28,293,22,173
2024-01-03,P001,24,269,34,173
2024-01-04,P001,28,241,37,173
2024-01-05,P001,28,213,7,173
2024-01-06,P001,25,188,5,173
2024-01-07,P001,28,160,10,173
2024-01-08,P001,19,141,33,173
2024-01-09,P001,22,491,15,173
2024-01-10,P001,31,460,17,173
2024-01-11,P001,25,435,15,173
2024-01-12,P001,27,408,29,173
2024-01-13,P001,23,385,19,173
2024-01-14,P001,26,359,17,173
2024-01-15,P001,17,342,37,173
2024-01-16,P001,24,318,17,173
2024-01-17,P001,23,295,28,173
2024-01-18,P001,25,270,24,173
2024-01-19,P001,28,242,21,173
2024-01-20,P001,18,224,28,173
2024-01-21,P001,34,190,30,173
2024-01-22,P001,34,156,36,173
2024-01-23,P001,34,568,33,173
2024-01-24,P001,26,542,18,173
2024-01-25,P001,32,510,26,173
2024-01-26,P001,28,482,38,173
2024-01-27,P001,30,452,31,173
2024-01-28,P001,25,427,32,173
2024-01-29,P001,22,405,26,173
2024-01-30,P001,23,382,7,173
2024-01-31,P001,44,338,26,173
2024-02-01,P001,34,304,25,173
2024-02-02,P001,27,277,20,173
2024-02-03,P001,23,254,13,173
2024-02-04,P001,24,230,17,173
2024-02-05,P001,18,212,14,173
2024-02-06,P001,24,188,25,173
2024-02-07,P001,27,161,11,173
2024-02-08,P001,25,136,26,173
2024-02-09,P001,22,366,22,173
2024-02-10,P001,23,343,25,173
2024-02-11,P001,30,313,18,173
2024-02-12,P001,21,292,14,173
2024-02-13,P001,22,270,37,173
2024-02-14,P001,25,245,13,173
2024-02-15,P001,20,225,22,173
2024-02-16,P001,20,205,17,173
2024-02-17,P001,21,184,21,173
2024-02-18,P001,21,163,27,173
2024-02-19,P001,26,137,29,173
2024-02-20,P001,28,589,20,173
2024-02-21,P001,21,568,28,173
2024-02-22,P001,23,545,35,173
2024-02-23,P001,18,527,15,173
2024-02-24,P001,19,508,27,173
2024-02-25,P001,33,475,26,173
2024-02-26,P001,25,450,37,173
2024-02-27,P001,25,425,22,173
2024-02-28,P001,26,399,18,173
2024-02-29,P001,18,381,32,173
2024-03-01,P001,24,357,15,173
2024-03-02,P001,30,327,28,173
2024-03-03,P001,17,310,23,173
2024-03-04,P001,30,280,17,173
2024-03-05,P001,26,254,37,173
2024-03-06,P001,23,231,23,173
2024-03-07,P001,25,206,36,173
2024-03-08,P001,20,186,19,173
2024-03-09,P001,30,156,15,173
2024-03-10,P001,30,126,27,173
2024-03-11,P001,21,325,9,173
2024-03-12,P001,19,306,26,173
2024-03-13,P001,26,280,22,173
2024-03-14,P001,25,255,11,173
2024-03-15,P001,24,231,37,173
2024-03-16,P001,31,200,7,173
2024-03-17,P001,23,177,32,173
2024-03-18,P001,27,150,5,173
2024-03-19,P001,23,127,26,173
2024-03-20,P001,23,427,23,173
2024-03-21,P001,26,401,18,173
2024-03-22,P001,19,382,7,173
2024-03-23,P001,30,352,23,173
2024-03-24,P001,22,330,37,173
2024-03-25,P001,30,300,25,173
2024-03-26,P001,16,284,5,173
2024-03-27,P001,26,258,30,173
2024-03-28,P001,24,234,14,173
2024-03-29,P001,22,212,39,173
2024-03-30,P001,31,181,17,173
2024-03-31,P001,31,150,10,173
2024-04-01,P001,31,491,10,173
2024-04-02,P001,29,462,39,173
2024-04-03,P001,24,438,20,173
2024-04-04,P001,27,411,12,173
2024-04-05,P001,19,392,7,173
2024-04-06,P001,21,371,9,173
2024-04-07,P001,35,336,25,173
2024-04-08,P001,22,314,35,173
2024-04-09,P001,22,292,18,173
2024-04-10,P001,21,271,23,173
2024-04-11,P001,26,245,24,173
2024-04-12,P001,24,221,6,173
2024-04-13,P001,25,196,11,173
2024-04-14,P001,35,161,37,173
2024-04-15,P001,17,144,10,173
2024-04-16,P001,24,503,11,173
2024-04-17,P001,28,475,22,173
2024-04-18,P001,24,451,33,173
2024-04-19,P001,22,429,23,173
2024-04-20,P001,37,392,29,173
2024-04-21,P001,29,363,8,173
2024-04-22,P001,24,339,17,173
2024-04-23,P001,27,312,36,173
2024-04-24,P001,25,287,31,173
2024-04-25,P001,26,261,38,173
2024-04-26,P001,22,239,32,173
2024-04-27,P001,29,210,13,173
2024-04-28,P001,26,184,12,173
2024-04-29,P001,20,164,25,173
2024-04-30,P001,25,139,34,173
2024-05-01,P001,29,364,33,173
2024-05-02,P001,27,337,13,173
2024-05-03,P001,21,316,17,173
2024-05-04,P001,19,297,22,173
2024-05-05,P001,29,268,26,173
2024-05-06,P001,22,246,35,173
2024-05-07,P001,31,215,39,173
2024-05-08,P001,35,180,14,173
2024-05-09,P001,31,149,13,173
2024-05-10,P001,28,358,35,173
2024-05-11,P001,29,329,28,173
2024-05-12,P001,36,293,12,173
2024-05-13,P001,26,267,24,173
2024-05-14,P001,22,245,21,173
2024-05-15,P001,26,219,32,173
2024-05-16,P001,17,202,10,173
2024-05-17,P001,29,173,37,173
2024-05-18,P001,33,140,32,173
2024-05-19,P001,36,549,5,173
2024-05-20,P001,20,529,39,173
2024-05-21,P001,26,503,28,173
2024-05-22,P001,18,485,10,173
2024-05-23,P001,16,469,11,173
2024-05-24,P001,28,441,13,173
2024-05-25,P001,26,415,20,173
2024-05-26,P001,35,380,38,173
2024-05-27,P001,26,354,39,173
2024-05-28,P001,22,332,39,173
2024-05-29,P001,23,309,24,173
2024-05-30,P001,20,289,27,173
2024-05-31,P001,21,268,39,173
2024-06-01,P001,27,241,27,173
2024-06-02,P001,22,219,8,173
2024-06-03,P001,23,196,14,173
2024-06-04,P001,25,171,15,173
2024-06-05,P001,22,149,13,173
2024-06-06,P001,32,384,16,173
2024-06-07,P001,27,357,21,173
2024-06-08,P001,21,336,36,173
2024-06-09,P001,28,308,27,173
2024-06-10,P001,27,281,19,173
2024-06-11,P001,25,256,32,173
2024-06-12,P001,20,236,9,173
2024-06-13,P001,33,203,22,173
2024-06-14,P001,20,183,25,173
2024-06-15,P001,32,151,19,173
2024-06-16,P001,29,422,7,173
2024-06-17,P001,26,396,30,173
2024-06-18,P001,23,373,19,173
2024-06-19,P001,25,348,24,173
2024-06-20,P001,18,330,25,173
2024-06-21,P001,22,308,30,173
2024-06-22,P001,14,294,27,173
2024-06-23,P001,26,268,29,173
2024-06-24,P001,24,244,8,173
2024-06-25,P001,28,216,14,173
2024-06-26,P001,19,197,26,173
2024-06-27,P001,25,172,7,173
2024-06-28,P001,25,147,23,173
2024-06-29,P001,28,496,35,173
2024-06-30,P001,23,473,13,173
2024-07-01,P001,32,441,33,173
2024-07-02,P001,26,415,11,173
2024-07-03,P001,26,389,28,173
2024-07-04,P001,28,361,12,173
2024-07-05,P001,25,336,38,173
2024-07-06,P001,24,312,30,173
2024-07-07,P001,21,291,32,173
2024-07-08,P001,24,267,32,173
2024-07-09,P001,21,246,11,173
2024-07-10,P001,16,230,7,173
2024-07-11,P001,29,201,26,173
2024-07-12,P001,28,173,22,173
2024-07-13,P001,36,137,16,173
2024-07-14,P001,17,583,35,173
2024-07-15,P001,16,567,9,173
2024-07-16,P001,21,546,33,173
2024-07-17,P001,20,526,18,173
2024-07-18,P001,25,501,22,173
2024-07-19,P001,23,478,11,173
2024-07-20,P001,24,454,27,173
2024-07-21,P001,26,428,37,173
2024-07-22,P001,25,403,20,173
2024-07-23,P001,18,385,29,173
2024-07-24,P001,22,363,13,173
2024-07-25,P001,12,351,32,173
2024-07-26,P001,20,331,13,173
2024-07-27,P001,21,310,16,173
2024-07-28,P001,21,289,22,173
2024-07-29,P001,32,257,31,173
2024-07-30,P001,23,234,30,173
2024-07-31,P001,24,210,30,173
2024-08-01,P001,27,183,14,173
2024-08-02,P001,31,152,21,173
2024-08-03,P001,27,125,36,173
2024-08-04,P001,20,443,28,173
2024-08-05,P001,19,424,12,173
2024-08-06,P001,23,401,34,173
2024-08-07,P001,16,385,30,173
2024-08-08,P001,19,366,28,173
2024-08-09,P001,21,345,31,173
2024-08-10,P001,22,323,19,173
2024-08-11,P001,22,301,32,173
2024-08-12,P001,25,276,15,173
2024-08-13,P001,21,255,6,173
2024-08-14,P001,27,228,13,173
2024-08-15,P001,36,192,27,173
2024-08-16,P001,29,163,37,173
2024-08-17,P001,32,131,23,173
2024-08-18,P001,27,323,17,173
2024-08-19,P001,30,293,18,173
2024-08-20,P001,37,256,36,173
2024-08-21,P001,33,223,26,173
2024-08-22,P001,28,195,24,173
2024-08-23,P001,20,175,37,173
2024-08-24,P001,28,147,9,173
2024-08-25,P001,30,484,24,173
2024-08-26,P001,18,466,18,173
2024-08-27,P001,23,443,31,173
2024-08-28,P001,23,420,30,173
2024-08-29,P001,17,403,36,173
2024-08-30,P001,31,372,34,173
2024-08-31,P001,17,355,31,173
2024-09-01,P001,23,332,30,173
2024-09-02,P001,26,306,22,173
2024-09-03,P001,29,277,27,173
2024-09-04,P001,26,251,28,173
2024-09-05,P001,28,223,8,173
2024-09-06,P001,24,199,7,173
2024-09-07,P001,18,181,34,173
2024-09-08,P001,25,156,20,173
2024-09-09,P001,25,131,11,173
2024-09-10,P001,18,328,26,173
2024-09-11,P001,32,296,35,173
2024-09-12,P001,25,271,17,173
2024-09-13,P001,25,246,33,173
2024-09-14,P001,22,224,32,173
2024-09-15,P001,31,193,23,173
2024-09-16,P001,14,179,27,173
2024-09-17,P001,23,156,12,173
2024-09-18,P001,30,126,29,173
2024-09-19,P001,26,335,39,173
2024-09-20,P001,30,305,30,173
2024-09-21,P001,36,269,7,173
2024-09-22,P001,18,251,6,173
2024-09-23,P001,25,226,9,173
2024-09-24,P001,15,211,24,173
2024-09-25,P001,26,185,16,173
2024-09-26,P001,33,152,20,173
2024-09-27,P001,24,128,33,173
2024-09-28,P001,23,598,39,173
2024-09-29,P001,26,572,25,173
2024-09-30,P001,28,544,25,173
2024-10-01,P001,22,522,32,173
2024-10-02,P001,17,505,10,173
2024-10-03,P001,23,482,24,173
2024-10-04,P001,19,463,17,173
2024-10-05,P001,20,443,15,173
2024-10-06,P001,22,421,28,173
2024-10-07,P001,26,395,23,173
2024-10-08,P001,27,368,27,173
2024-10-09,P001,24,344,35,173
2024-10-10,P001,24,320,7,173
2024-10-11,P001,21,299,38,173
2024-10-12,P001,27,272,33,173
2024-10-13,P001,16,256,7,173
2024-10-14,P001,25,231,19,173
2024-10-15,P001,21,210,11,173
2024-10-16,P001,26,184,7,173
2024-10-17,P001,24,160,20,173
2024-10-18,P001,23,137,38,173
2024-10-19,P001,29,314,24,173
2024-10-20,P001,31,283,37,173
2024-10-21,P001,30,253,18,173
2024-10-22,P001,23,230,39,173
2024-10-23,P001,26,204,15,173
2024-10-24,P001,34,170,24,173
2024-10-25,P001,24,146,34,173
2024-10-26,P001,27,594,32,173
2024-10-27,P001,23,571,19,173
2024-10-28,P001,33,538,17,173
2024-10-29,P001,28,510,39,173
2024-10-30,P001,23,487,28,173
2024-10-31,P001,32,455,5,173
2024-11-01,P001,28,427,28,173
2024-11-02,P001,29,398,31,173
2024-11-03,P001,22,376,22,173
2024-11-04,P001,18,358,30,173
2024-11-05,P001,21,337,33,173
2024-11-06,P001,16,321,12,173
2024-11-07,P001,19,302,30,173
2024-11-08,P001,29,273,9,173
2024-11-09,P001,32,241,37,173
2024-11-10,P001,33,208,9,173
2024-11-11,P001,25,183,17,173
2024-11-12,P001,26,157,21,173
2024-11-13,P001,32,125,17,173
2024-11-14,P001,21,569,29,173
2024-11-15,P001,31,538,6,173
2024-11-16,P001,16,522,28,173
2024-11-17,P001,24,498,29,173
2024-11-18,P001,28,470,38,173
2024-11-19,P001,20,450,16,173
2024-11-20,P001,24,426,23,173
2024-11-21,P001,17,409,34,173
2024-11-22,P001,27,382,5,173
2024-11-23,P001,32,350,7,173
2024-11-24,P001,24,326,30,173
2024-11-25,P001,25,301,19,173
2024-11-26,P001,19,282,32,173
2024-11-27,P001,29,253,8,173
2024-11-28,P001,31,222,23,173
2024-11-29,P001,26,196,28,173
2024-11-30,P001,24,172,10,173
2024-12-01,P001,23,149,20,173
2024-12-02,P001,21,128,36,173
2024-12-03,P001,28,314,34,173
2024-12-04,P001,17,297,39,173
2024-12-05,P001,22,275,12,173
2024-12-06,P001,25,250,9,173
2024-12-07,P001,33,217,16,173
2024-12-08,P001,13,204,29,173
2024-12-09,P001,25,179,37,173
2024-12-10,P001,21,158,28,173
2024-12-11,P001,22,136,15,173
2024-12-12,P001,27,344,39,173
2024-12-13,P001,24,320,5,173
2024-12-14,P001,28,292,12,173
2024-12-15,P001,29,263,27,173
2024-12-16,P001,20,243,24,173
2024-12-17,P001,37,206,36,173
2024-12-18,P001,13,193,15,173
2024-12-19,P001,40,153,11,173
2024-12-20,P001,24,129,34,173
2024-12-21,P001,25,592,17,173
2024-12-22,P001,26,566,7,173
2024-12-23,P001,34,532,11,173
2024-12-24,P001,29,503,17,173
2024-12-25,P001,29,474,29,173
2024-12-26,P001,23,451,27,173
2024-12-27,P001,31,420,37,173
2024-12-28,P001,24,396,9,173
2024-12-29,P001,29,367,36,173
2024-12-30,P001,22,345,34,173
2024-12-31,P001,26,319,35,173
2023-01-01,P002,12,505,17,139
2023-01-02,P002,16,489,9,139
2023-01-03,P002,14,475,27,139
2023-01-04,P002,20,455,5,139
2023-01-05,P002,24,431,14,139
2023-01-06,P002,18,413,31,139
2023-01-07,P002,13,400,12,139
2023-01-08,P002,14,386,7,139
2023-01-09,P002,8,378,23,139
2023-01-10,P002,16,362,6,139
2023-01-11,P002,24,338,35,139
2023-01-12,P002,24,314,14,139
2023-01-13,P002,18,296,20,139
2023-01-14,P002,20,276,24,139
2023-01-15,P002,13,263,7,139
2023-01-16,P002,17,246,39,139
2023-01-17,P002,12,234,38,139
2023-01-18,P002,11,223,25,139
2023-01-19,P002,21,202,36,139
2023-01-20,P002,12,190,22,139
2023-01-21,P002,17,173,38,139
2023-01-22,P002,20,153,7,139
2023-01-23,P002,11,142,7,139
2023-01-24,P002,18,124,31,139
2023-01-25,P002,21,103,6,139
2023-01-26,P002,15,88,7,139
2023-01-27,P002,15,545,21,139
2023-01-28,P002,15,530,23,139
2023-01-29,P002,16,514,23,139
2023-01-30,P002,13,501,9,139
2023-01-31,P002,21,480,9,139
2023-02-01,P002,18,462,18,139
2023-02-02,P002,13,449,31,139
2023-02-03,P002,21,428,39,139
2023-02-04,P002,15,413,25,139
2023-02-05,P002,18,395,9,139
2023-02-06,P002,16,379,28,139
2023-02-07,P002,14,365,28,139
2023-02-08,P002,12,353,17,139
2023-02-09,P002,26,327,5,139
2023-02-10,P002,14,313,14,139
2023-02-11,P002,17,296,6,139
2023-02-12,P002,22,274,20,139
