date,user_id,content_id,watch_minutes,completed_flag,watch_sessions
2024-04-15,13,149,22,0,1
2024-06-26,13,141,28,0,1
2024-05-27,13,111,112,1,1
2024-05-22,13,50,18,0,1
2023-12-27,13,76,88,0,1
2024-11-25,14,286,42,0,1
2025-04-30,14,94,45,0,1
2024-09-22,14,57,40,0,1
2025-05-06,14,98,20,0,1
2025-05-30,14,78,94,0,1
2024-08-31,14,270,35,0,1
2024-08-25,14,68,69,0,1
2024-08-14,14,168,29,0,1
2024-07-15,14,131,73,0,1
2024-09-30,14,282,44,0,1
2025-04-10,14,263,98,0,1
2024-10-18,14,231,39,0,1
2024-11-28,14,161,82,0,1
2024-07-28,14,28,82,0,1
2024-09-28,14,294,20,0,1
2024-10-22,14,92,90,1,1
2024-06-26,14,169,19,0,1
2024-10-06,14,299,51,0,1
2024-09-27,14,14,70,0,1
2024-11-24,14,154,119,0,1
2025-03-05,14,145,39,0,1
2024-06-30,14,214,107,1,1
2024-12-08,14,21,19,0,1
2024-10-24,14,213,64,0,1
2024-12-09,14,247,9,0,1
2025-02-06,14,201,22,0,1
2024-11-16,14,72,112,0,1
2024-05-12,15,169,28,0,1
2024-07-29,15,224,101,0,1
2024-04-06,15,44,61,0,1
2024-10-26,15,210,27,0,1
2024-07-01,15,86,47,0,1
2024-04-08,15,169,51,0,1
2024-03-19,15,109,60,1,1
2024-10-29,15,280,104,0,1
2024-04-04,15,45,6,0,1
2024-03-27,15,154,27,0,1
2024-09-22,15,91,10,0,1
2025-02-21,15,38,39,0,1
2024-10-13,15,202,80,1,1
2025-01-02,15,254,42,0,1
2024-10-06,15,187,47,0,1
2025-02-21,15,114,8,0,1
2024-03-04,15,68,78,1,1
2024-06-30,15,173,84,0,1
2024-07-30,15,267,33,0,1
2024-08-08,15,214,18,0,1
2024-03-25,15,292,43,0,1
2024-09-04,15,122,106,0,1
2024-04-27,15,96,10,0,1
2025-02-16,15,136,77,1,1
2024-12-07,15,120,50,0,1
2024-03-24,15,146,16,0,1
2024-05-25,15,109,43,0,1
2025-02-07,15,266,69,1,1
2024-05-12,15,102,45,0,1
2024-07-14,15,191,81,1,1
2024-07-19,15,73,76,1,1
2024-08-13,15,168,58,0,1
2024-11-13,15,111,108,1,1
2024-08-07,15,19,38,0,1
2024-04-18,15,175,50,0,1
2024-08-30,15,185,87,0,1
2024-12-31,15,81,32,0,1
2024-11-29,15,283,52,0,1
2022-10-15,16,157,47,0,1
2022-12-16,16,94,80,1,1
2023-10-06,16,186,12,0,1
2023-03-27,16,204,46,0,1
2022-10-21,16,154,22,0,1
2023-08-02,16,51,95,1,1
2023-05-08,16,144,81,1,1
2022-10-11,16,254,95,0,1
2023-09-08,16,256,66,1,1
2023-03-30,16,150,99,1,1
2023-07-14,16,59,66,0,1
2023-01-29,16,243,58,0,1
2022-12-04,16,60,64,1,1
2023-05-12,16,233,97,1,1
2022-12-02,16,208,67,0,1
2023-04-10,16,281,30,0,1
2023-04-03,16,63,49,0,1
2022-12-20,16,167,68,1,1
2022-12-12,16,69,60,0,1
2022-10-17,16,236,74,0,1
2023-03-30,16,282,32,0,1
2023-07-31,16,134,31,0,1
2022-11-15,16,196,79,0,1
2022-05-01,17,30,86,0,1
2021-09-22,17,190,16,0,1
2021-09-14,17,30,89,0,1
2021-07-23,17,60,42,0,1
2022-06-10,17,143,22,0,1
2021-12-12,17,285,116,0,1
2022-01-31,17,21,21,0,1
2021-11-08,17,166,16,0,1
2022-01-04,17,244,117,0,1
2022-01-02,17,259,67,0,1
2021-07-08,17,246,87,0,1
2022-04-22,17,87,95,0,1
2022-06-06,17,27,50,0,1
2022-04-01,17,289,96,1,1
2022-01-24,17,178,24,0,1
2022-01-28,17,186,35,0,1
2022-04-05,17,41,13,0,1
2021-12-23,17,79,81,0,1
2022-03-20,17,272,36,0,1
2021-11-04,17,251,42,0,1
2021-09-21,17,136,77,1,1
2022-03-19,17,43,96,0,1
2021-07-31,17,236,52,0,1
2021-12-30,17,84,35,0,1
2021-11-23,17,71,12,0,1
2022-01-02,18,45,41,0,1
2022-09-07,18,38,103,0,1
2022-06-30,18,262,67,1,1
2022-05-09,18,186,61,0,1
2022-05-31,18,13,63,0,1
2022-06-13,18,220,34,0,1
2022-07-13,18,258,62,0,1
2021-12-17,18,193,81,0,1
2021-12-31,18,32,102,0,1
2021-12-24,18,47,18,0,1
2022-09-18,18,63,23,0,1
2022-10-24,18,101,41,0,1
2022-02-26,18,92,56,0,1
2023-03-15,19,36,68,0,1
2023-03-05,19,196,82,0,1
2023-08-01,19,90,12,0,1
2023-09-11,19,212,19,0,1
2023-11-05,19,273,90,0,1
2023-09-17,19,64,16,0,1
2023-09-13,19,174,51,0,1
2023-10-29,19,101,20,0,1
2023-08-31,19,258,96,0,1
2023-10-22,19,105,58,0,1
2023-07-20,19,287,45,0,1
2023-04-03,19,43,69,0,1
2023-12-18,19,221,5,0,1
2023-09-03,19,144,32,0,1
2024-01-23,19,278,45,0,1
2024-01-13,19,147,93,0,1
2023-08-12,19,167,68,1,1
2023-10-12,19,249,11,0,1
2023-10-25,19,111,56,0,1
2023-08-22,19,207,72,1,1
2023-03-11,19,26,87,1,1
2024-01-27,19,10,21,0,1
2023-10-18,19,206,6,0,1
2023-06-07,19,205,31,0,1
2023-04-27,19,176,64,1,1
2023-10-21,19,118,13,0,1
2023-05-12,19,23,75,0,1
2023-10-13,19,73,31,0,1
2024-05-30,20,81,88,0,1
2024-01-01,20,43,108,0,1
2024-03-05,20,92,87,1,1
2023-09-08,20,296,11,0,1
2024-03-23,20,59,17,0,1
2024-06-09,20,241,85,0,1
2024-05-23,20,98,66,0,1
2024-03-06,20,113,49,0,1
2023-11-09,20,216,64,0,1
2024-04-27,20,258,70,0,1
2024-05-28,20,14,52,0,1
2023-09-27,20,245,60,0,1
2024-03-10,20,224,96,0,1
2024-04-22,20,217,8,0,1
2023-07-22,20,178,7,0,1
2024-02-28,20,17,75,0,1
2024-04-29,20,48,66,0,1
2023-08-24,20,147,107,0,1
2023-11-25,20,227,53,0,1
2024-05-28,20,230,118,1,1
2023-12-11,20,56,82,0,1
2024-03-12,20,206,29,0,1
2024-01-30,20,239,83,0,1
2024-03-30,20,82,82,0,1
2024-02-21,20,193,93,1,1
2023-12-22,20,276,78,0,1
2023-06-26,20,123,89,1,1
2024-04-01,20,40,69,0,1
2023-10-23,21,137,20,0,1
2024-08-01,21,299,118,0,1
2024-07-23,21,269,28,0,1
2023-12-30,21,52,119,0,1
2023-08-30,21,165,17,0,1
2024-02-19,21,264,60,0,1
2024-03-21,21,104,87,0,1
2024-02-27,21,169,25,0,1
2024-04-18,21,256,66,1,1
2023-09-24,21,202,78,1,1
2024-04-13,21,157,84,0,1
2024-05-25,21,282,57,1,1
2024-04-07,21,19,57,0,1
2023-11-06,21,273,50,0,1
2024-08-07,21,213,57,0,1
2024-08-08,21,104,68,0,1
2024-02-06,21,147,75,0,1
2023-11-02,21,193,41,0,1
2024-07-04,21,154,6,0,1
2023-10-11,21,224,116,0,1
2024-06-01,21,287,80,0,1
2023-11-20,21,176,10,0,1
2024-05-10,21,143,65,0,1
2024-05-11,21,20,81,0,1
2024-06-08,21,46,99,0,1
2023-10-16,21,131,13,0,1
2024-03-03,21,298,50,0,1
2023-10-25,21,84,63,1,1
2023-09-03,21,157,67,0,1
2024-07-07,21,61,68,0,1
2024-07-03,21,168,79,0,1
2023-12-20,21,245,110,0,1
2024-06-29,21,122,66,0,1
2024-02-11,21,103,64,0,1
2024-06-10,21,261,117,0,1
2023-10-22,21,160,80,1,1
2023-08-24,21,138,115,0,1
2023-03-17,22,12,119,0,1
2023-06-02,22,194,56,0,1
2023-06-27,22,281,39,0,1
2023-07-27,22,278,41,0,1
2023-09-05,22,96,103,0,1
2023-09-25,22,237,76,0,1
2023-08-25,22,276,110,0,1
2023-02-18,22,18,55,0,1
2023-03-06,22,122,13,0,1
2023-05-05,22,154,106,0,1
2023-03-11,22,169,63,0,1
2023-12-12,22,41,42,0,1
2023-06-11,22,275,18,0,1
2023-06-21,22,3,41,0,1
2023-03-02,22,265,107,1,1
2023-11-04,22,134,89,0,1
2023-03-01,22,129,100,0,1
2023-06-16,22,241,119,0,1
2023-08-30,22,222,90,0,1
2023-05-05,22,263,11,0,1
2023-12-17,22,242,6,0,1
2023-12-14,22,270,35,0,1
2023-04-05,22,189,45,0,1
2023-02-28,22,232,9,0,1
2023-08-25,22,203,9,0,1
2023-06-07,22,36,83,1,1
2023-11-16,22,278,38,0,1
2023-12-23,22,17,80,0,1
2023-03-03,22,202,80,1,1
2023-09-12,22,78,60,0,1
2023-05-05,22,58,22,0,1
2023-09-10,22,135,80,0,1
2023-02-24,22,69,89,0,1
2023-05-08,22,109,48,0,1
2023-06-26,22,18,97,0,1
2023-12-05,22,148,92,0,1
2023-08-05,22,51,23,0,1
2023-06-14,22,225,70,0,1
2022-01-29,23,158,102,0,1
2021-12-29,23,246,92,0,1
2022-03-17,23,33,109,1,1
2022-03-22,23,275,75,0,1
2022-06-02,23,216,83,0,1
2022-01-09,23,298,91,0,1
2022-01-20,23,116,8,0,1
2022-04-10,23,5,45,0,1
2021-11-09,23,117,105,0,1
2022-06-20,23,13,18,0,1
2022-01-28,23,281,86,1,1
2021-11-16,23,236,86,0,1
2021-08-03,23,199,54,0,1
2021-12-13,23,271,20,0,1
2021-07-26,23,158,34,0,1
2021-10-14,23,31,93,1,1
2022-06-22,23,148,53,0,1
2024-12-04,24,106,101,0,1
2025-06-29,24,227,104,1,1
2025-02-19,24,55,71,0,1
2024-11-19,24,128,36,0,1
2025-02-12,24,7,6,0,1
2025-10-18,24,220,78,1,1
2025-02-25,24,36,36,0,1
2024-12-26,24,298,57,0,1
2024-11-20,24,87,117,1,1
2025-10-08,24,177,6,0,1
2025-05-25,24,11,54,0,1
2025-03-13,24,235,79,0,1
2024-12-12,24,224,29,0,1
2025-06-11,24,92,29,0,1
2025-10-08,24,129,63,0,1
2025-05-27,24,42,114,0,1
2025-06-27,24,194,22,0,1
2025-10-10,24,243,9,0,1
2025-08-14,24,127,79,0,1
2025-01-12,24,288,62,0,1
2025-05-08,24,166,59,0,1
2024-12-09,24,247,82,1,1
2024-12-03,24,96,114,1,1
2025-09-15,24,137,25,0,1
2025-09-27,24,61,98,0,1
2025-02-14,24,296,60,0,1
2025-07-29,24,287,31,0,1
2025-05-16,24,69,74,0,1
2025-07-30,24,115,95,1,1
2024-11-19,24,265,19,0,1
2025-07-18,24,105,11,0,1
2025-06-23,24,271,41,0,1
2025-02-02,24,295,10,0,1
2025-06-10,24,92,85,1,1
2025-03-18,24,191,35,0,1
2025-10-08,24,10,111,1,1
2025-02-06,24,67,66,0,1
2025-04-06,24,153,77,1,1
2025-04-08,24,186,97,0,1
2025-05-10,25,266,25,0,1
2025-07-18,25,254,33,0,1
2025-10-31,25,266,17,0,1
2024-12-30,25,151,54,0,1
2025-06-16,25,132,100,1,1
2025-07-23,25,53,6,0,1
2025-10-03,25,193,83,0,1
2025-01-09,25,97,74,0,1
2025-03-28,25,147,48,0,1
2025-01-15,25,65,43,0,1
2025-06-12,25,109,30,0,1
2025-05-04,25,12,26,0,1
2025-10-12,25,220,18,0,1
2025-10-21,25,286,48,0,1
2025-07-07,25,166,63,0,1
2025-05-02,25,52,67,0,1
2025-05-21,25,120,77,1,1
2025-04-24,25,295,45,0,1
2025-11-12,25,165,69,1,1
2025-10-14,25,160,12,0,1
2025-11-01,25,18,49,0,1
2025-10-31,25,33,9,0,1
2025-06-11,25,164,101,0,1
2024-11-18,25,34,28,0,1
2025-04-07,25,71,85,0,1
2025-10-27,25,230,26,0,1
2023-11-25,26,15,106,1,1
2023-05-05,26,53,25,0,1
2023-11-26,26,219,117,0,1
2023-09-17,26,277,65,1,1
2023-02-24,26,218,102,1,1
2023-08-30,26,15,24,0,1
2023-09-19,26,265,75,0,1
2023-05-10,26,207,50,0,1
2023-06-05,26,265,107,1,1
2023-08-06,26,36,88,1,1
2023-08-19,26,19,32,0,1
2022-12-26,26,104,99,1,1
2023-11-29,26,204,18,0,1
2023-10-01,26,143,71,0,1
2023-08-31,26,110,12,0,1
2023-02-10,26,190,55,0,1
2023-02-04,26,68,78,1,1
2022-12-09,26,119,61,0,1
2023-01-03,26,6,103,1,1
2021-11-14,27,67,79,0,1
2022-05-06,27,289,104,1,1
2021-10-28,27,13,28,0,1
2022-04-19,27,109,60,1,1
2022-06-01,27,149,115,1,1
2021-12-31,27,21,64,0,1
2021-07-01,27,245,10,0,1
2021-08-22,27,76,62,0,1
2021-08-27,27,65,90,0,1
2022-03-27,27,56,79,0,1
2022-02-24,27,190,10,0,1
2021-06-16,27,191,24,0,1
2022-02-23,27,218,99,1,1
2021-09-08,27,10,91,0,1
2022-02-15,27,151,65,1,1
2021-10-01,27,30,82,0,1
2021-08-04,27,34,109,1,1
2021-11-29,27,22,35,0,1
2021-09-23,27,149,20,0,1
2024-07-17,28,172,51,0,1
2024-01-14,28,275,52,0,1
2024-04-16,28,242,49,0,1
2024-04-05,28,164,52,0,1
2024-08-30,28,271,106,1,1
2024-03-12,28,202,44,0,1
2024-01-02,28,86,18,0,1
2024-08-24,28,213,55,0,1
2024-01-12,28,271,69,0,1
2024-08-31,28,183,67,1,1
2023-10-02,28,234,46,0,1
2024-05-23,28,267,20,0,1
2024-04-10,28,239,82,0,1
2024-05-25,28,8,28,0,1
2024-04-20,28,158,62,0,1
2023-12-17,28,55,77,0,1
2024-01-22,28,108,52,0,1
2024-02-01,28,198,51,0,1
2024-05-07,28,245,79,0,1
2024-06-09,28,178,28,0,1
2024-03-15,28,274,88,0,1
2024-06-09,28,286,5,0,1
2023-12-17,28,69,35,0,1
2024-04-07,28,91,60,0,1
2024-03-09,29,16,58,0,1
2023-12-27,29,162,57,0,1
2023-10-04,29,151,65,1,1
2023-07-17,29,273,52,0,1
2023-08-22,29,178,44,0,1
2023-11-04,29,259,21,0,1
2023-10-01,29,90,67,1,1
2023-12-13,29,156,76,0,1
2023-05-20,29,254,62,0,1
2023-09-15,29,200,23,0,1
2023-07-06,29,285,27,0,1
2023-07-15,29,266,69,1,1
2023-09-19,29,231,33,0,1
2024-01-21,29,195,55,0,1
2023-11-20,29,267,90,0,1
2023-06-16,29,128,103,0,1
2023-12-13,29,67,66,0,1
2023-08-06,29,137,32,0,1
2023-10-23,29,205,42,0,1
2023-05-08,29,117,25,0,1
2023-10-02,29,46,74,0,1
2023-09-08,29,203,115,0,1
2023-11-14,29,245,85,0,1
2023-11-29,29,295,75,0,1
2023-08-31,29,1,93,0,1
2023-11-30,29,69,34,0,1
2023-07-19,29,8,117,0,1
2023-12-26,29,36,59,0,1
2023-05-09,29,155,81,0,1
2024-10-07,30,30,43,0,1
2025-02-22,30,13,20,0,1
2024-12-17,30,247,31,0,1
2024-08-12,30,253,39,0,1
2025-01-21,30,7,66,0,1
2025-02-25,30,110,70,1,1
2025-05-01,30,276,100,0,1
2025-04-18,30,189,108,0,1
2025-04-12,30,154,62,0,1
2025-06-01,30,50,83,0,1
2024-08-19,30,150,57,0,1
2025-01-27,30,66,108,0,1
2025-04-23,30,151,65,1,1
2025-05-14,30,255,88,1,1
2024-11-12,30,135,45,0,1
2024-08-21,30,65,6,0,1
2024-11-07,30,32,104,0,1
2025-06-23,30,243,68,0,1
2022-03-19,31,89,110,0,1
2021-12-10,31,136,77,1,1
2022-05-01,31,149,91,0,1
2021-10-30,31,223,105,0,1
2021-11-07,31,296,110,0,1
2022-08-01,31,104,99,1,1
2022-03-17,31,35,117,0,1
2022-08-26,31,53,95,0,1
2022-01-11,31,104,70,0,1
2022-06-21,31,31,65,0,1
2022-05-02,31,233,97,1,1
2021-11-25,31,243,59,0,1
2021-12-20,31,259,21,0,1
2022-01-08,31,206,50,0,1
2022-04-06,31,291,5,0,1
2022-02-11,31,145,32,0,1
2022-04-18,31,136,38,0,1
2022-09-02,31,18,99,0,1
2022-09-01,32,266,69,1,1
2022-10-31,32,16,16,0,1
2022-02-16,32,212,55,0,1
2022-04-11,32,283,71,0,1
2022-08-28,32,30,13,0,1
2022-10-08,32,165,69,1,1
2022-10-04,32,260,68,0,1
2022-02-20,32,179,63,1,1
2022-07-06,32,79,95,0,1
2022-03-16,32,111,76,0,1
2022-10-13,32,247,82,1,1
2022-02-23,32,132,100,1,1
2022-07-26,32,278,7,0,1
2022-11-03,32,99,51,0,1
2022-01-10,32,161,82,0,1
2022-03-30,32,241,30,0,1
2022-04-18,32,50,84,0,1
2022-09-23,32,298,41,0,1
2022-05-06,32,220,16,0,1
2022-01-21,32,142,50,0,1
2022-05-15,32,285,16,0,1
2022-03-29,32,82,48,0,1
2022-06-15,32,258,63,0,1
2022-09-02,32,274,26,0,1
2022-02-24,32,58,57,0,1
2021-12-04,32,216,65,0,1
2022-07-19,32,254,35,0,1
2022-09-16,32,66,23,0,1
2022-10-08,32,95,113,0,1
2022-08-13,32,150,27,0,1
2022-08-04,32,215,19,0,1
2023-07-11,33,148,113,0,1
2023-04-11,33,121,43,0,1
2023-06-30,33,18,45,0,1
2023-09-16,33,143,41,0,1
2023-09-04,33,261,107,0,1
2023-11-11,33,297,88,0,1
2023-03-12,33,230,28,0,1
2023-05-19,33,193,21,0,1
2023-06-19,33,280,31,0,1
2023-11-20,33,268,89,0,1
2023-11-16,33,85,14,0,1
2023-12-16,33,59,56,0,1
2023-11-19,33,285,44,0,1
2024-02-18,33,189,72,0,1
2023-11-08,33,229,66,0,1
2024-01-12,33,124,69,1,1
2023-12-24,33,215,113,0,1
2023-06-23,33,217,69,0,1
2023-11-03,33,37,68,0,1
2023-10-07,33,34,43,0,1
2023-05-08,33,209,62,1,1
2024-02-09,33,152,7,0,1
2024-03-01,33,199,85,1,1
2023-11-05,33,79,97,0,1
2023-12-12,33,32,91,0,1
2023-04-10,33,101,85,1,1
2023-05-09,33,192,24,0,1
2023-03-30,33,270,48,0,1
2023-10-14,33,77,64,1,1
2023-08-16,33,284,68,0,1
2023-03-06,34,137,32,0,1
2023-10-10,34,95,21,0,1
2023-05-30,34,10,84,0,1
2023-06-16,34,203,71,0,1
2023-09-10,34,253,45,0,1
2024-01-03,34,205,46,0,1
2023-10-08,34,71,32,0,1
2023-05-15,34,13,72,1,1
2023-10-31,34,292,92,1,1
2023-02-17,34,238,79,0,1
2023-03-30,34,132,100,1,1
2023-09-16,34,222,49,0,1
2024-01-08,34,285,57,0,1
2023-07-09,34,151,61,1,1
2023-07-30,34,21,116,0,1
2023-07-23,34,138,109,0,1
2023-12-31,34,30,55,0,1
2023-07-13,34,78,26,0,1
2023-12-19,34,21,5,0,1
2024-01-31,34,143,40,0,1
2023-12-02,34,214,36,0,1
2023-08-07,34,174,58,0,1
2023-07-13,34,250,80,1,1
2023-10-11,34,279,47,0,1
2023-08-04,34,2,70,0,1
2023-07-18,34,247,82,1,1
2023-10-04,34,110,70,1,1
2023-04-14,34,164,33,0,1
2023-05-26,34,228,91,0,1
2023-12-31,35,162,54,0,1
2024-06-10,35,210,66,0,1
2024-07-19,35,184,19,0,1
2024-09-30,35,209,48,0,1
2024-08-22,35,20,74,0,1
2023-12-08,35,34,100,1,1
2024-05-27,35,246,103,1,1
2024-08-16,35,108,118,0,1
2023-12-24,35,216,59,0,1
2023-12-26,35,281,40,0,1
2024-10-22,35,186,115,0,1
2023-12-12,35,129,54,0,1
2024-06-25,35,133,87,0,1
2024-06-13,35,262,30,0,1
2024-03-12,35,120,59,0,1
2023-12-09,35,45,18,0,1
2024-03-21,35,55,13,0,1
2023-12-15,35,37,54,0,1
2024-04-05,35,117,88,0,1
2024-02-10,35,111,25,0,1
2021-10-12,36,6,8,0,1
2021-12-29,36,42,7,0,1
2021-12-01,36,47,89,0,1
2021-08-26,36,58,99,0,1
2021-09-20,36,209,62,1,1
2021-04-13,36,252,7,0,1
2021-12-21,36,250,61,0,1
2021-04-26,36,14,39,0,1
2021-08-08,36,30,94,0,1
2021-08-19,36,69,39,0,1
2021-11-02,36,52,18,0,1
2021-05-07,36,292,92,1,1
2021-08-04,36,157,57,0,1
2022-03-05,36,150,76,0,1
2021-12-01,36,69,68,0,1
2021-03-09,36,75,22,0,1
2021-12-28,36,241,34,0,1
2021-07-26,36,183,57,0,1
2021-03-21,36,111,108,1,1
