policy_id,policy_start_date,vehicle_type,policy_type,region,vehicle_age,driver_age,base_premium,discount_pct,final_premium,expected_claim_cost,policy_year,underwriting_margin,premium_per_vehicle_age,discount_applied,discount_bucket,avg_vehicle_premium,premium_deviation_pct,risk_adjusted_discount,pricing_status,effective_price_index
POL10045,2/20/2023,Sedan,Comprehensive,North,5,42,14000,0,14000,5817.474513,2023,8182.525487,2333.333333,0,No Discount,13138.71795,6.555297516,0,Profitable,1.065552975
POL10046,2/23/2023,Sedan,Third Party,West,4,64,11200,15,9520,5549.265735,2023,3970.734265,1904,1,High,13138.71795,-27.54239769,3,Profitable,0.724576023
POL10047,12/16/2023,Sedan,Comprehensive,West,12,62,16100,0,16100,11560.99909,2023,4539.000906,1238.461538,0,No Discount,13138.71795,22.53859214,0,Profitable,1.225385921
POL10048,8/26/2024,SUV,Third Party,South,4,43,14200,0,14200,9590.679436,2024,4609.320564,2840,0,No Discount,16035.20315,-11.44483876,0,Profitable,0.885551612
POL10049,10/2/2024,Hatchback,Third Party,South,13,45,11900,5,11305,5787.861082,2024,5517.138918,807.5,1,Low,11091.59585,1.924016687,0.357142857,Profitable,1.019240167
POL10050,9/29/2023,Sedan,Comprehensive,North,5,49,14000,0,14000,6987.293541,2023,7012.706459,2333.333333,0,No Discount,13138.71795,6.555297516,0,Profitable,1.065552975
POL10051,10/17/2024,Hatchback,Third Party,North,13,48,11900,0,11900,4953.869099,2024,6946.130901,850,0,No Discount,11091.59585,7.288438617,0,Profitable,1.072884386
POL10052,3/28/2024,Sedan,Third Party,West,4,59,11200,0,11200,6561.738682,2024,4638.261318,2240,0,No Discount,13138.71795,-14.75576199,0,Profitable,0.85244238
POL10053,12/23/2023,Sedan,Comprehensive,North,3,54,13400,0,13400,5442.032336,2023,7957.967664,3350,0,No Discount,13138.71795,1.988641908,0,Profitable,1.019886419
POL10054,10/20/2024,Sedan,Comprehensive,North,12,24,18100,5,17195,13370.08646,2024,3824.913544,1322.692308,1,Low,13138.71795,30.87273863,0.384615385,Profitable,1.308727386
POL10055,9/15/2023,Hatchback,Comprehensive,East,3,44,11400,5,10830,6815.826025,2023,4014.173975,2707.5,1,Low,11091.59585,-2.358505023,1.25,Profitable,0.97641495
POL10056,6/28/2024,Sedan,Comprehensive,North,11,23,17800,10,16020,10582.71442,2024,5437.285582,1335,1,Medium,13138.71795,21.92970473,0.833333333,Profitable,1.219297047
POL10057,2/12/2023,Hatchback,Third Party,East,13,22,13900,0,13900,8997.491597,2023,4902.508403,992.8571429,0,No Discount,11091.59585,25.32010897,0,Profitable,1.25320109
POL10058,12/27/2024,Hatchback,Third Party,South,9,46,10700,0,10700,5395.772581,2024,5304.227419,1070,0,No Discount,11091.59585,-3.530563596,0,Profitable,0.964694364
POL10059,7/15/2023,SUV,Third Party,East,12,56,16600,0,16600,13064.73486,2023,3535.265138,1276.923077,0,No Discount,16035.20315,3.522230741,0,Profitable,1.035222307
POL10060,11/6/2024,Hatchback,Comprehensive,West,2,55,11100,0,11100,6091.760301,2024,5008.239699,3700,0,No Discount,11091.59585,0.075770475,0,Profitable,1.000757705
POL10061,4/6/2023,Hatchback,Comprehensive,North,11,33,13800,10,12420,6151.557205,2023,6268.442795,1035,1,Medium,11091.59585,11.97667291,0.833333333,Profitable,1.119766729
POL10062,9/30/2023,Sedan,Comprehensive,North,5,33,14000,10,12600,7001.576461,2023,5598.423539,2100,1,Medium,13138.71795,-4.100232236,1.666666667,Profitable,0.958997678
POL10063,1/31/2024,Luxury,Comprehensive,North,6,48,22300,15,18955,14789.50339,2024,4165.496612,2707.857143,1,High,20650.76512,-8.211633391,2.142857143,Profitable,0.917883666
POL10064,5/20/2024,Sedan,Comprehensive,East,11,45,15800,5,15010,7281.218282,2024,7728.781718,1250.833333,1,Low,13138.71795,14.24250112,0.416666667,Profitable,1.142425011
POL10065,7/18/2024,SUV,Comprehensive,North,4,62,16700,15,14195,11332.89759,2024,2862.102408,2839,1,High,16035.20315,-11.47602016,3,Profitable,0.885239798
POL10066,9/25/2024,Sedan,Comprehensive,East,10,38,15500,15,13175,8895.918154,2024,4279.081846,1197.727273,1,High,13138.71795,0.276146055,1.363636364,Profitable,1.002761461
POL10067,5/6/2024,SUV,Comprehensive,South,12,60,19100,0,19100,13919.01085,2024,5180.989147,1469.230769,0,No Discount,16035.20315,19.11292814,0,Profitable,1.191129281
POL10068,9/25/2024,Hatchback,Comprehensive,South,2,28,11100,0,11100,6085.651133,2024,5014.348867,3700,0,No Discount,11091.59585,0.075770475,0,Profitable,1.000757705
POL10069,5/14/2024,Hatchback,Comprehensive,North,3,56,11400,0,11400,4940.763268,2024,6459.236732,2850,0,No Discount,11091.59585,2.780521028,0,Profitable,1.02780521
POL10070,3/20/2024,Sedan,Comprehensive,South,9,39,15200,0,15200,9075.160634,2024,6124.839366,1520,0,No Discount,13138.71795,15.68860873,0,Profitable,1.156886087
POL10071,10/14/2024,Sedan,Comprehensive,West,11,28,15800,0,15800,10423.00911,2024,5376.990891,1316.666667,0,No Discount,13138.71795,20.25526434,0,Profitable,1.202552643
POL10072,1/1/2023,SUV,Third Party,North,14,45,17200,10,15480,7576.505432,2023,7903.494568,1032,1,Medium,16035.20315,-3.462401695,0.666666667,Profitable,0.965375983
POL10073,5/14/2023,SUV,Comprehensive,North,12,41,19100,0,19100,14704.27504,2023,4395.724957,1469.230769,0,No Discount,16035.20315,19.11292814,0,Profitable,1.191129281
POL10074,8/17/2023,Hatchback,Comprehensive,North,1,61,10800,0,10800,5592.21385,2023,5207.78615,5400,0,No Discount,11091.59585,-2.628980078,0,Profitable,0.973710199
POL10075,5/27/2024,Sedan,Comprehensive,West,6,31,14300,0,14300,11156.35369,2024,3143.646311,2042.857143,0,No Discount,13138.71795,8.83862532,0,Profitable,1.088386253
POL10076,12/24/2023,Sedan,Comprehensive,West,9,48,15200,5,14440,8018.638186,2023,6421.361814,1444,1,Low,13138.71795,9.904178295,0.5,Profitable,1.099041783
POL10077,11/12/2023,Sedan,Third Party,North,3,47,10900,5,10355,6362.511149,2023,3992.488851,2588.75,1,Low,13138.71795,-21.1871353,1.25,Profitable,0.788128647
POL10078,12/24/2024,Sedan,Third Party,North,13,55,13900,10,12510,9756.798766,2024,2753.201234,893.5714286,1,Medium,13138.71795,-4.785230577,0.714285714,Profitable,0.952147694
POL10079,9/13/2023,Sedan,Comprehensive,South,7,50,14600,10,13140,5493.66933,2023,7646.33067,1642.5,1,Medium,13138.71795,0.009757811,1.25,Profitable,1.000097578
POL10080,4/29/2023,Sedan,Comprehensive,South,14,31,16700,5,15865,8763.133376,2023,7101.866624,1057.666667,1,Low,13138.71795,20.74998536,0.333333333,Profitable,1.207499854
POL10081,11/19/2024,SUV,Comprehensive,East,14,21,21700,0,21700,9334.116644,2024,12365.88336,1446.666667,0,No Discount,16035.20315,35.32725344,0,Profitable,1.353272534
POL10082,4/20/2024,SUV,Comprehensive,South,2,43,16100,10,14490,11271.86217,2024,3218.13783,4830,1,Medium,16035.20315,-9.636317866,3.333333333,Profitable,0.903636821
POL10083,4/2/2024,Sedan,Third Party,North,13,21,15900,15,13515,8682.980074,2024,4832.019926,965.3571429,1,High,13138.71795,2.863917566,1.071428571,Profitable,1.028639176
POL10084,3/21/2024,SUV,Comprehensive,South,11,51,18800,0,18800,12570.23043,2024,6229.769569,1566.666667,0,No Discount,16035.20315,17.24204445,0,Profitable,1.172420445
POL10085,11/4/2024,Sedan,Comprehensive,South,11,21,17800,5,16910,10558.18444,2024,6351.815561,1409.166667,1,Low,13138.71795,28.70357721,0.416666667,Profitable,1.287035772
POL10086,2/5/2024,Hatchback,Third Party,East,4,41,9200,5,8740,6310.436158,2024,2429.563842,1748,1,Low,11091.59585,-21.20160054,1,Profitable,0.787983995
POL10087,4/13/2023,Hatchback,Third Party,South,1,54,8300,5,7885,4903.888429,2023,2981.111571,3942.5,1,Low,11091.59585,-28.91013962,2.5,Profitable,0.710898604
POL10088,3/10/2024,Luxury,Third Party,South,0,44,18000,15,15300,7943.511843,2024,7356.488157,15300,1,High,20650.76512,-25.91073547,15,Profitable,0.740892645
POL10089,4/16/2023,SUV,Comprehensive,West,9,37,18200,5,17290,8702.018189,2023,8587.981811,1729,1,Low,16035.20315,7.825263223,0.5,Profitable,1.078252632
POL10090,3/10/2023,Luxury,Comprehensive,North,13,63,24400,5,23180,12438.97409,2023,10741.02591,1655.714286,1,Low,20650.76512,12.24765698,0.357142857,Profitable,1.12247657
POL10091,4/21/2023,Hatchback,Third Party,East,10,36,11000,5,10450,4940.258753,2023,5509.741247,950,1,Low,11091.59585,-5.784522391,0.454545455,Profitable,0.942154776
POL10092,11/26/2024,Sedan,Comprehensive,East,12,52,16100,0,16100,7678.341281,2024,8421.658719,1238.461538,0,No Discount,13138.71795,22.53859214,0,Profitable,1.225385921
POL10093,2/7/2024,SUV,Third Party,South,12,42,16600,0,16600,7441.022184,2024,9158.977816,1276.923077,0,No Discount,16035.20315,3.522230741,0,Profitable,1.035222307
POL10094,8/21/2023,Sedan,Comprehensive,North,13,46,16400,5,15580,6476.993255,2023,9103.006745,1112.857143,1,Low,13138.71795,18.58082395,0.357142857,Profitable,1.185808239
POL10095,9/6/2023,Sedan,Comprehensive,West,13,63,16400,15,13940,5916.570704,2023,8023.429296,995.7142857,1,High,13138.71795,6.098631955,1.071428571,Profitable,1.06098632
POL10096,1/26/2023,SUV,Third Party,East,12,35,16600,5,15770,12136.85542,2023,3633.144584,1213.076923,1,Low,16035.20315,-1.653880796,0.384615385,Profitable,0.983461192
POL10097,6/9/2024,Sedan,Third Party,West,1,46,10300,0,10300,5160.040211,2024,5139.959789,5150,0,No Discount,13138.71795,-21.6057454,0,Profitable,0.783942546
POL10098,1/7/2023,SUV,Comprehensive,East,14,38,19700,0,19700,12077.02406,2023,7622.97594,1313.333333,0,No Discount,16035.20315,22.85469552,0,Profitable,1.228546955
POL10099,1/15/2023,Hatchback,Comprehensive,West,9,59,13200,0,13200,6396.445477,2023,6803.554523,1320,0,No Discount,11091.59585,19.00902435,0,Profitable,1.190090243
POL10100,4/18/2024,Sedan,Third Party,North,3,45,10900,5,10355,7410.74727,2024,2944.25273,2588.75,1,Low,13138.71795,-21.1871353,1.25,Profitable,0.788128647
POL10101,4/19/2023,Sedan,Comprehensive,South,1,28,12800,5,12160,7609.526351,2023,4550.473649,6080,1,Low,13138.71795,-7.449113015,2.5,Profitable,0.92550887
POL10102,7/7/2024,Hatchback,Third Party,South,1,26,8300,5,7885,3902.213301,2024,3982.786699,3942.5,1,Low,11091.59585,-28.91013962,2.5,Profitable,0.710898604
POL10103,10/23/2024,Hatchback,Third Party,West,3,50,8900,0,8900,4574.938801,2024,4325.061199,2225,0,No Discount,11091.59585,-19.75906692,0,Profitable,0.802409331
POL10104,8/29/2024,Hatchback,Comprehensive,East,2,51,11100,0,11100,8801.761059,2024,2298.238941,3700,0,No Discount,11091.59585,0.075770475,0,Profitable,1.000757705
POL10105,8/11/2023,SUV,Comprehensive,East,3,35,16400,10,14760,7426.658291,2023,7333.341709,3690,1,Medium,16035.20315,-7.952522546,2.5,Profitable,0.920474775
POL10106,5/18/2024,SUV,Comprehensive,South,14,31,19700,5,18715,9581.923495,2024,9133.076505,1247.666667,1,Low,16035.20315,16.71196074,0.333333333,Profitable,1.167119607
POL10107,10/27/2023,Hatchback,Comprehensive,West,2,40,11100,5,10545,5240.484251,2023,5304.515749,3515,1,Low,11091.59585,-4.928018049,1.666666667,Profitable,0.95071982
POL10108,7/12/2024,SUV,Comprehensive,South,4,31,16700,15,14195,7498.606367,2024,6696.393633,2839,1,High,16035.20315,-11.47602016,3,Profitable,0.885239798
POL10109,9/16/2023,Hatchback,Third Party,South,4,43,9200,5,8740,4201.249696,2023,4538.750304,1748,1,Low,11091.59585,-21.20160054,1,Profitable,0.787983995
POL10110,6/17/2023,SUV,Third Party,North,8,37,15400,0,15400,9074.703798,2023,6325.296202,1711.111111,0,No Discount,16035.20315,-3.961304012,0,Profitable,0.96038696
POL10111,7/3/2024,Sedan,Third Party,North,4,64,11200,0,11200,8659.562541,2024,2540.437459,2240,0,No Discount,13138.71795,-14.75576199,0,Profitable,0.85244238
POL10112,4/3/2024,Luxury,Third Party,East,0,60,18000,10,16200,6791.653293,2024,9408.346707,16200,1,Medium,20650.76512,-21.55254344,10,Profitable,0.784474566
POL10113,12/15/2023,Hatchback,Comprehensive,South,11,50,13800,10,12420,5894.059974,2023,6525.940026,1035,1,Medium,11091.59585,11.97667291,0.833333333,Profitable,1.119766729
POL10114,1/14/2024,Sedan,Comprehensive,North,12,62,16100,0,16100,11698.90039,2024,4401.09961,1238.461538,0,No Discount,13138.71795,22.53859214,0,Profitable,1.225385921
POL10115,10/22/2023,SUV,Comprehensive,North,5,53,17000,10,15300,9196.648787,2023,6103.351213,2550,1,Medium,16035.20315,-4.584931908,1.666666667,Profitable,0.954150681
POL10116,10/26/2024,Sedan,Third Party,South,13,60,13900,0,13900,8578.242167,2024,5321.757833,992.8571429,0,No Discount,13138.71795,5.794188248,0,Profitable,1.057941882
POL10117,7/17/2023,Luxury,Comprehensive,West,9,35,23200,10,20880,12489.77813,2023,8390.221872,2088,1,Medium,20650.76512,1.110055119,1,Profitable,1.011100551
POL10118,4/22/2024,SUV,Comprehensive,South,8,53,17900,10,16110,11461.11758,2024,4648.882425,1790,1,Medium,16035.20315,0.46645405,1.111111111,Profitable,1.004664541
POL10119,10/16/2023,Hatchback,Comprehensive,South,4,30,11700,0,11700,8523.484186,2023,3176.515814,2340,0,No Discount,11091.59585,5.485271582,0,Profitable,1.054852716
POL10120,6/8/2023,Sedan,Comprehensive,West,7,35,14600,10,13140,6043.965998,2023,7096.034002,1642.5,1,Medium,13138.71795,0.009757811,1.25,Profitable,1.000097578
POL10121,2/16/2023,Sedan,Comprehensive,East,14,56,16700,5,15865,7943.916828,2023,7921.083172,1057.666667,1,Low,13138.71795,20.74998536,0.333333333,Profitable,1.207499854
POL10122,3/10/2023,SUV,Comprehensive,West,5,26,17000,0,17000,9941.639465,2023,7058.360535,2833.333333,0,No Discount,16035.20315,6.016742325,0,Profitable,1.060167423
POL10123,10/29/2023,Sedan,Comprehensive,West,13,38,16400,5,15580,6344.862666,2023,9235.137334,1112.857143,1,Low,13138.71795,18.58082395,0.357142857,Profitable,1.185808239
POL10124,11/13/2024,Luxury,Comprehensive,West,4,57,21700,10,19530,9003.635003,2024,10526.365,3906,1,Medium,20650.76512,-5.427232927,2,Profitable,0.945727671
POL10125,8/26/2024,Sedan,Third Party,East,12,34,13600,15,11560,8903.828804,2024,2656.171196,889.2307692,1,High,13138.71795,-12.01576862,1.153846154,Profitable,0.879842314
POL10126,2/11/2024,Hatchback,Third Party,South,13,56,11900,0,11900,9143.207361,2024,2756.792639,850,0,No Discount,11091.59585,7.288438617,0,Profitable,1.072884386
POL10127,7/20/2024,Hatchback,Comprehensive,East,8,29,12900,0,12900,9224.995826,2024,3675.004174,1433.333333,0,No Discount,11091.59585,16.3042738,0,Profitable,1.163042738
POL10128,10/27/2024,Hatchback,Third Party,North,9,31,10700,15,9095,5332.217045,2024,3762.782955,909.5,1,High,11091.59585,-18.00097906,1.5,Profitable,0.819990209
POL10129,4/19/2024,SUV,Comprehensive,East,10,64,18500,15,15725,7851.344325,2024,7873.655675,1429.545455,1,High,16035.20315,-1.93451335,1.363636364,Profitable,0.980654867
POL10130,1/25/2023,Sedan,Comprehensive,West,0,49,12500,5,11875,7753.255368,2023,4121.744632,11875,1,Low,13138.71795,-9.618274429,5,Profitable,0.903817256
POL10131,6/5/2023,Hatchback,Comprehensive,North,3,61,11400,0,11400,6450.686004,2023,4949.313996,2850,0,No Discount,11091.59585,2.780521028,0,Profitable,1.02780521
POL10132,4/20/2024,Sedan,Third Party,East,0,52,10000,0,10000,6999.841882,2024,3000.158118,10000,0,No Discount,13138.71795,-23.8890732,0,Profitable,0.761109268
POL10133,12/23/2024,Hatchback,Comprehensive,North,12,49,14100,5,13395,8384.418792,2024,5010.581208,1030.384615,1,Low,11091.59585,20.76711221,0.384615385,Profitable,1.207671122
POL10134,1/18/2023,Hatchback,Comprehensive,South,1,48,10800,5,10260,6143.737038,2023,4116.262962,5130,1,Low,11091.59585,-7.497531074,2.5,Profitable,0.925024689
POL10135,10/5/2024,Hatchback,Comprehensive,East,2,52,11100,0,11100,8424.59102,2024,2675.40898,3700,0,No Discount,11091.59585,0.075770475,0,Profitable,1.000757705
POL10136,6/11/2023,Sedan,Third Party,West,1,27,10300,5,9785,4020.053715,2023,5764.946285,4892.5,1,Low,13138.71795,-25.52545813,2.5,Profitable,0.744745419
POL10137,3/18/2024,Sedan,Comprehensive,North,14,57,16700,0,16700,11040.344,2024,5659.656,1113.333333,0,No Discount,13138.71795,27.10524775,0,Profitable,1.271052478
POL10138,9/21/2023,Hatchback,Third Party,South,7,63,10100,15,8585,6677.102998,2023,1907.897002,1073.125,1,High,11091.59585,-22.599055,1.875,Profitable,0.77400945
POL10139,7/1/2023,Hatchback,Third Party,West,1,27,8300,5,7885,5475.04315,2023,2409.95685,3942.5,1,Low,11091.59585,-28.91013962,2.5,Profitable,0.710898604
POL10140,3/26/2023,Hatchback,Third Party,West,12,38,11600,10,10440,7589.644314,2023,2850.355686,803.0769231,1,Medium,11091.59585,-5.874680742,0.769230769,Profitable,0.941253193
POL10141,6/6/2024,Hatchback,Third Party,East,6,32,9800,10,8820,4745.837887,2024,4074.162113,1260,1,Medium,11091.59585,-20.48033373,1.428571429,Profitable,0.795196663
POL10142,9/13/2023,Sedan,Comprehensive,West,2,42,13100,10,11790,5254.746059,2023,6535.253941,3930,1,Medium,13138.71795,-10.26521731,3.333333333,Profitable,0.897347827
POL10143,6/7/2023,Sedan,Comprehensive,West,0,37,12500,0,12500,7708.171073,2023,4791.828927,12500,0,No Discount,13138.71795,-4.861341504,0,Profitable,0.951386585
POL10144,8/25/2023,Sedan,Third Party,South,10,24,15000,0,15000,11403.43381,2023,3596.566193,1363.636364,0,No Discount,13138.71795,14.1663902,0,Profitable,1.141663902
POL10145,9/1/2024,Hatchback,Third Party,South,4,62,9200,5,8740,4454.097052,2024,4285.902948,1748,1,Low,11091.59585,-21.20160054,1,Profitable,0.787983995
POL10146,1/17/2023,Sedan,Comprehensive,West,6,62,14300,0,14300,7228.271351,2023,7071.728649,2042.857143,0,No Discount,13138.71795,8.83862532,0,Profitable,1.088386253
POL10147,10/14/2023,SUV,Comprehensive,West,12,27,19100,5,18145,13340.98034,2023,4804.019661,1395.769231,1,Low,16035.20315,13.15728173,0.384615385,Profitable,1.131572817
POL10148,4/20/2024,SUV,Comprehensive,South,11,63,18800,0,18800,8199.333944,2024,10600.66606,1566.666667,0,No Discount,16035.20315,17.24204445,0,Profitable,1.172420445
POL10149,1/6/2024,Hatchback,Third Party,West,10,56,11000,10,9900,5136.601994,2024,4763.398006,900,1,Medium,11091.59585,-10.74323174,0.909090909,Profitable,0.892567683
POL10150,8/15/2023,Luxury,Third Party,West,5,42,19500,10,17550,8528.881458,2023,9021.118542,2925,1,Medium,20650.76512,-15.0152554,1.666666667,Profitable,0.849847446
POL10151,7/1/2024,Sedan,Third Party,West,10,37,13000,5,12350,7888.403674,2024,4461.596326,1122.727273,1,Low,13138.71795,-6.003005406,0.454545455,Profitable,0.939969946
POL10152,4/26/2024,Sedan,Comprehensive,North,8,60,14900,10,13410,8021.81542,2024,5388.18458,1490,1,Medium,13138.71795,2.064752835,1.111111111,Profitable,1.020647528
